CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Duration.pupa,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,Notes
016,007,5/23/2023,Perrywinkle,diet,26C,5/27,5/29,6/1/2023,10.22,6/4/2023,49.02,16,6/9/2023,17,176.66,Yes,6/28/2023,102.27,19,,female,no,,,deformed wings
017,007,5/23/2023,Perrywinkle,diet,26C,5/27,5/20,6/1/2023,20.4,6/3/2023,74.23,21,6/7/2023,15,185.53,Yes,6/17/2023,91.68,10,,Female,yes,,,
018,007,5/25/2023,Perrywinkle,diet,26C,,5/29/2023,5/31/2023,,6/3/2023,64.26,26,6/7/2023,13,183.54,Yes,6/14/2023,94.62,7,,Male,Yes,,,
019,BC1,5/29/2023,Elysian,diet,26C,6/2,,6/4/2023,17.68,6/6/2023,52.53,30,6/10/2023,12,206.35,Yes,6/17/2023,96.77,7,,Male,yes,,,
020,BC1,5/31/2023,Elysian,diet,26C,6/2,,6/5/2023,11.15,6/7/2023,36.11,34,6/11/2023,11,168.58,Yes,,,,,,,6/20/2023,,Died trying to eclose
021,BC1,5/30/2023,Elysian,diet,26C,,,6/5/2023,8.97,6/8/2023,71.89,16,6/11/2023,12,191.46,Yes,7/1/2023,92.47,20,,male,yes,,,
022,BC1,5/30/2023,Elysian,diet,26C,,,6/5/2023,12.85,6/7/2023,38.04,21,6/12/2023,13,220.73,Yes,6/24/2023,99.13,12,,male,yes,,,
023,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,8.32,6/8/2023,53.25,26,6/12/2023,14,195.14,Yes,6/19/2023,101.86,7,,Female,yes,,,
024,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,11.35,6/8/2023,67.27,30,6/11/2023,13,168.5,Yes,6/17/2023,76.87,6,,Female,,,,
025,BC1,5/29/2023,Elysian,plant,26C,,,6/5/2023,11.36,6/8/2023,58.08,34,6/12/2023,14,193.01,Yes,6/20/2023,108.61,8,,Male,no,,,deformed wings
026,BC1,5/31/2023,Elysian,plant,26C,,,6/6/2023,15.78,6/9/2023,73.47,16,6/13/2023,13,170.02,Yes,7/1/2023,80.9,18,,Female,yes,,,
027,BC1,5/31/2023,Elysian,plant,26C,,,6/6/2023,21.17,6/8/2023,55.14,21,6/12/2023,12,216.36,Yes,6/23/2023,120.06,11,,male,no,,,deformed wings
028,BC1,5/30/2023,Elysian,diet,26C,,,6/6/2023,8,6/9/2023,52.74,26,6/13/2023,14,204.04,Yes,6/20/2023,107.19,7,,Female,yes,,,
029,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,15.72,6/8/2023,74.62,30,6/13/2023,13,,No,,,,,,,6/13/2023,153.41,INT
030,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,10.85,6/9/2023,,34,6/13/2023,12,251.82,Yes,,,,,,,6/24/2023,,died trying to eclose
031,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,13.77,6/9/2023,67.89,16,6/13/2023,12,,No,,,,,,,6/13/2023,192.37,INT
032,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.29,6/9/2023,67.69,21,6/14/2023,13,147.9,yes,6/26/2023,66.06,12,,male,no,,,deformed wings
033,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,7.77,6/9/2023,77.23,26,6/13/2023,12,186.72,Yes,6/19/2023,109.21,6,,Male,no,,,
034,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.27,6/8/2023,44.5,30,6/12/2023,11,187.62,Yes,6/18/2023,96.18,6,,Female,,,,
035,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.97,6/9/2023,54.88,34,6/13/2023,12,148.26,Yes,,,,,,,6/25/2023,,died as pupa
036,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.9,6/8/2023,47.66,16,6/13/2023,12,230.16,Yes,07/02/2023,111.43,19,,male,yes,,,
037,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,25.94,6/8/2023,73.68,21,6/12/2023,11,,No,,,,,,,6/12/2023,184.47,INT
038,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,9.52,6/9/2023,49.18,26,6/13/2023,12,179.31,Yes,6/20/2023,89.53,7,,Female,yes,,,
039,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,10.66,6/9/2023,51.02,30,6/13/2023,12,183.51,Yes,6/19/2023,104.95,6,,Female,yes,,,
040,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,17.85,6/8/2023,52.55,34,6/12/2023,11,210.39,Yes,6/20/2023,105.43,8,,male,no,,,deformed wings
041,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,13.29,6/9/2023,107.12,16,6/12/2023,12,232.52,Yes,6/30/2023,138.68,18,,male,yes,,,
042,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,12.33,6/9/2023,43.09,21,6/13/2023,13,308.4,Yes,,,,,,,6/28/2023,,died trying to eclose
043,BC1,5/29/2023,Elysian,diet,26C,,,6/6/2023,15.95,6/8/2023,38.08,26,6/12/2023,14,,No,,,,,,,6/12/2023,177.8,INT
044,BC1,5/31/2023,Elysian,diet,26C,,,6/7/2023,14.65,6/9/2023,34.27,30,,,,,,,,,,,6/12/2023,,diseased as fifth
045,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,33.37,6/9/2023,91.16,34,6/13/2023,12,246.32,Yes,,,,,,,6/25/2023,,died as pupa
046,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,18.2,6/9/2023,46.64,16,6/13/2023,12,191.9,Yes,7/3/2023,104.9,20,,female,yes,,,
047,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,19.75,6/9/2023,56.55,21,6/13/2023,12,224.13,Yes,6/25/2023,111.16,12,,female,yes,,,
048,BC1,5/30/2023,Elysian,diet,26C,,,6/7/2023,17.21,6/9/2023,34.02,26,6/14/2023,15,167.58,yes,6/21/2023,81.33,7,,female,yes,,,
049,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,16.97,6/9/2023,47.59,30,6/13/2023,12,181.65,Yes,6/20/2023,89.63,7,,female,yes,,,
050,BC1,6/2/2023,Elysian,diet,26C,,,6/7/2023,10.43,6/9/2023,37.01,34,6/14/2023,12,202.02,yes,,,,,,,6/25/2023,,died as pupa
051,BC1,5/31/2023,Elysian,diet,26C,,,6/7/2023,12.24,6/10/2023,85.95,16,6/13/2023,13,,No,,,,,,,6/13/2023,165.43,INT
052,BC1,5/30/2023,Elysian,diet,26C,,,6/7/2023,15.81,6/10/2023,116.44,21,6/14/2023,15,219.81,Yes,6/25/2023,145.62,11,,male,yes,,,
053,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,14.01,6/10/2023,46.1,26,6/14/2023,11,202.36,yes,,,,,,,6/23/2023,,Failed to eclose
054,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,12.7,6/10/2023,41.73,30,6/15/2023,12,216.77,yes,6/22/2023,114.66,7,,male,Yes,,,
055,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,9.74,6/10/2023,38.87,34,6/15/2023,12,171.58,yes,6/23/2023,68.25,8,,male,no,,,
056,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.86,6/10/2023,45.96,16,6/14/2023,11,223.37,yes,07/02/2023,104.29,18,,male,yes,,,
057,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.04,6/10/2023,46.99,21,6/16/2023,13,,no,,,,,,,6/16/2023,178.44,INT
058,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,11.8,6/10/2023,43.29,26,6/14/2023,11,197.12,Yes,6/21/2023,92.36,7,,female,yes,,,
059,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,15.69,6/10/2023,52.7,30,6/14/2023,13,187.22,yes,,,,,,,6/23/2023,,Died trying to eclose
060,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,17.54,6/10/2023,42.03,34,6/14/2023,13,177.12,yes,,,,,,,6/25/2023,,died as pupa
