CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Duration.pupa,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,Notes
104,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,19.02,6/11/2023,45.48,30,6/15/2023,12,174.33,yes,,,,,,,6/22/2023,,Died trying to eclose
105,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.42,6/12/2023,74.89,34,6/16/2023,13,223.81,yes,,,,,,,6/28/2023,,died trying to eclose
106,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.65,6/12/2023,77.05,16,6/15/2023,12,202.22,yes,07/02/2023,89.63,17,,male,yes,,,
107,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,15.45,6/11/2023,40.12,21,6/15/2023,12,234.96,yes,6/25/2023,154.35,10,,male,yes,,,
108,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.09,6/12/2023,93.17,26,6/15/2023,12,202.56,yes,,,,,,,6/22/2023,,Found on plant as third- exclude? Died trying to eclose
109,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.54,6/12/2023,47,30,6/16/2023,13,172.78,yes,6/22/2023,89.41,6,,male,yes,,,Found on plant as third- exclude? 
110,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,26.82,6/11/2023,74.44,34,6/14/2023,11,208.43,Yes,,,,,,,6/25/2023,,Found on plant as third- exclude? Died as pupa
111,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.04,6/12/2023,50.87,16,6/16/2023,13,191.82,Yes,,,,,,,6/28/2023,,Found on plant as third- exclude? Died as pupa
112,BC1,5/31/2023,Elysian,plant,26C,,,6/9/2023,9.29,6/12/2023,47.14,21,6/16/2023,16,,no,,,,,,,6/17/23,182.79,INT
113,BC1,6/2/2023,Elysian,plant,26C,,,6/9/2023,9.33,6/12/2023,59.2,26,6/15/2023,13,161.37,yes,6/22/2023,94.05,7,,female,yes,,,
114,BC1,5/31/2023,Elysian,diet,26C,,,6/9/2023,14.19,6/12/2023,62.06,30,6/16/2023,16,,no,,,,,,,6/17/23,229.69,INT
115,BC1,5/30/2023,Elysian,diet,26C,,,6/9/2023,11.47,6/12/2023,51.52,34,6/16/2023,17,199.16,yes,6/24/2023,101.15,8,,male,no,,,deformed wings
116,BC1,5/27/2023,Elysian,diet,26C,,,6/9/2023,13.6,6/12/2023,87.6,16,6/15/2023,19,215.22,yes,7/3/2023,151.76,18,,male,yes,,,
117,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,9.05,6/12/2023,56.89,21,6/16/2023,13,192.18,yes,6/27/2023,98.45,11,,female,yes,,,
118,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,10.81,6/12/2023,74.13,26,6/16/2023,13,,no,,,,,,,6/17/23,236.94,INT
119,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.89,6/12/2023,52.09,30,6/16/2023,13,212.6,yes,,,,,,,6/25/2023,,died trying to eclose
120,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.06,6/12/2023,56.59,34,6/16/2023,13,201.16,yes,6/24/2023,101.32,8,,male,no,,,deformed wings
121,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,8.17,,,16,,,,,,,,,,,6/11/2023,,
122,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,7.33,,,21,,,,,,,,,,,6/10/2023,,
123,BC1,6/1/2023,Elysian,plate,26C,,,6/9/2023,21.42,6/11/2023,41.43,26,6/16/2023,15,191.1,Yes,6/24/2023,96.46,8,,male,no,,,
124,BC1,6/5/2023,Elysian,plant,26+/5,,,6/9/2023,11.16,6/12/2023,50.91,30,6/16/2023,11,185.22,Yes,6/22/2023,96.16,6,,female,no,,,
125,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,25.67,6/12/2023,49.05,34,6/16/2023,12,,no,,,,,,,6/17/23,201.96,INT
126,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,20.93,6/12/2023,,16,6/16/2023,12,,no,,,,,,,6/17/23,214.58,INT
127,BC1,6/2/2023,Elysian,plant,26C,,,6/10/2023,12.59,6/13/2023,51.27,21,6/17/23,15,152.43,yes,,,,,,,6/27/2023,,
128,BC1,5/30/2023,Elysian,plant,26C,,,6/10/2023,16.44,6/13/2023,71.67,26,6/17/23,18,,no,,,,,,,6/17/2023,176.47,INT
129,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,19.3,6/13/2023,111.55,30,6/16/2023,12,196.66,yes,6/22/2023,118.46,6,,female,no,,,
130,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,11.58,6/13/2023,42.62,34,6/18/23,14,195.92,yes,6/26/2023,127.51,8,,female,no,,,
131,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,12.66,6/13/2023,64.5,16,6/17/23,13,201.54,yes,7/6/2023,89.55,19,,male,yes,,,
132,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,10.71,,,21,,,,,,,,,,,6/13/2023,,Accidentally squished
133,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,12.3,6/13/2023,74.56,26,6/16/2023,12,179.82,yes,6/23/2023,80.63,7,,,yes,,,
134,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.53,6/14/2023,85.96,30,6/19/2023,15,,no,,,,,,,6/19/2023,175.41,INT
135,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,15.11,6/12/2023,44.63,34,6/16/2023,15,199.14,yes,6/24/2023,115.26,8,,male,no,,,deformed wings
