"CID","SIB","Mean.Temp","Temp.Var","UniID","Date.hatch","Surv.4th","Date.4th","Time.4th","Mass.4th","Surv.5th","Date.5th","Time.5th","Mass.5th","Surv.pupa","Date.pupa","Time.pupa","Mass.pupa","PupateOk","Surv.eclose","Date.eclose","Time.eclose","EcloseOk","Sex","Mass.adult","Date.dead","Time.death","Stage.final","Notes"
69,"15",21,5,"69.15.21.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/13",2,"1",""
70,"15",30,5,"70.15.30.5","5/9","Y","5/14",5,18.1,"Y","5/16",7,54.7,"Y","5/19",10,174.9,"Y","N","",NA,"","",NA,"5/30",21,"pupa",""
71,"15",30,5,"71.15.30.5","5/9","Y","5/14",5,22,"Y","5/16",7,100.2,"Y","5/19",10,202.8,"Y","Y","5/26",17,"Y","F",88.2,"",NA,"adult",""
72,"15",30,5,"72.15.30.5","5/9","Y","5/14",5,12.9,"Y","5/16",7,56.3,"Y","5/20",11,246.5,"Y","Y","5/27",18,"Y","M",124.4,"",NA,"adult",""
73,"8",30,5,"73.8.30.5","5/9","Y","5/14",5,27.7,"Y","5/15",6,45.2,"Y","5/19",10,234.7,"Y","N","",NA,"","",NA,"5/29",20,"pupa",""
74,"8",30,5,"74.8.30.5","5/9","Y","5/14",5,15.5,"Y","5/16",7,89.9,"Y","5/19",10,182.9,"Y","Y","5/25",16,"N","M",78.6,"",NA,"adult","Deformed adult"
75,"8",30,5,"75.8.30.5","5/9","Y","5/14",5,18.6,"Y","5/16",7,96.2,"Y","5/19",10,178.9,"Y","N","",NA,"","",NA,"5/30",21,"pupa",""
76,"15",30,5,"76.15.30.5","5/9","Y","5/14",5,11.8,"Y","5/16",7,49.2,"Y","5/19",10,175.4,"Y","Y","5/25",16,"Y","F",79.6,"",NA,"adult",""
77,"15",30,5,"77.15.30.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",5,"2",""
78,"8",30,5,"78.8.30.5","5/9","Y","5/14",5,8.7,"Y","5/16",7,47.2,"Y","5/20",11,196.6,"Y","Y","5/27",18,"N","F",107.8,"",NA,"adult","deformed adult"
79,"8",30,5,"79.8.30.5","5/9","Y","5/14",5,12.2,"Y","5/16",7,44.9,"Y","5/20",11,209.6,"Y","Y","5/27",18,"Y","M",104.5,"",NA,"adult",""
80,"M1",16,5,"80.M1.16.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
81,"M1",21,5,"81.M1.21.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
82,"8",21,5,"82.8.21.5","5/9","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",5,"1",""
83,"15",21,5,"83.15.21.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",3,"1",""
84,"M1",34,5,"84.M1.34.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
85,"M1",34,5,"85.M1.34.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
86,"24",34,5,"86.24.34.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
87,"24",34,5,"87.24.34.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/14",1,"1",""
88,"8",26,5,"88.8.26.5","5/9","Y","5/14",5,8.7,"Y","5/16",7,34.1,"Y","5/21",12,226.28,"Y","N","",NA,"","",NA,"5/29",20,"pupa",""
89,"15",26,5,"89.15.26.5","5/9","Y","5/14",5,8,"Y","5/16",7,38.4,"Y","5/21",12,202.3,"Y","Y","5/27",18,"Y","F",138.3,"",NA,"adult",""
90,"8",26,5,"90.8.26.5","5/9","Y","5/15",6,9.1,"Y","5/17",8,43.9,"Y","5/21",12,215.4,"Y","Y","5/28",19,"Y","M",99.8,"",NA,"adult",""
91,"M1",26,5,"91.M1.26.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
92,"8",26,5,"92.8.26.5","5/9","Y","5/15",6,14.8,"Y","5/17",8,66.5,"Y","5/21",12,205.41,"Y","Y","5/27",18,"Y","M",106.7,"",NA,"adult",""
93,"8",26,5,"93.8.26.5","5/9","Y","5/15",6,13.5,"Y","5/17",8,49.3,"Y","5/21",12,157.1,"Y","N","",NA,"","",NA,"5/31",22,"pupa",""
94,"8",26,5,"94.8.26.5","5/9","Y","5/15",6,12.3,"Y","5/17",8,41.6,"Y","5/23",14,186.3,"N","N","",NA,"","",NA,"5/23",14,"pupal int",""
95,"15",26,5,"95.15.26.5","5/9","Y","5/15",6,20.1,"Y","5/17",8,68.5,"Y","5/21",12,214,"Y","Y","5/27",18,"Y","M",98.2,"",NA,"adult",""
96,"15",26,5,"96.15.26.5","5/9","Y","5/15",6,10.5,"Y","5/17",8,42.8,"Y","5/21",12,218.9,"Y","Y","5/28",19,"Y","F",105.8,"",NA,"adult",""
97,"8",26,5,"97.8.26.5","5/9","Y","5/15",6,23.3,"Y","5/17",8,86.4,"Y","5/23",14,186,"N","N","",NA,"","",NA,"5/23",14,"pupal int",""
98,"8",26,5,"98.8.26.5","5/9","Y","5/15",6,12.1,"Y","5/17",8,43.1,"Y","5/21",12,205.5,"Y","Y","5/28",19,"Y","M",96.7,"",NA,"adult",""
99,"M1",30,5,"99.M1.30.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
100,"24",30,5,"100.24.30.5","5/10","Y","5/15",5,14.3,"Y","5/17",7,74.7,"Y","5/20",10,201.1,"Y","N","",NA,"","",NA,"5/29",19,"pupa",""
101,"24",30,5,"101.24.30.5","5/10","Y","5/15",5,7.6,"Y","5/17",7,45.2,"Y","5/20",10,167.1,"Y","N","",NA,"","",NA,"6/11",32,"pupa",""
102,"24",30,5,"102.24.30.5","5/10","Y","5/15",5,10.5,"Y","5/17",7,63.1,"Y","5/20",10,193.7,"Y","N","",NA,"","",NA,"5/30",20,"pupa",""
103,"15",30,5,"103.15.30.5","5/10","Y","5/15",5,10.5,"Y","5/17",7,65.4,"Y","5/20",10,185.4,"Y","Y","5/26",16,"Y","F",122.5,"",NA,"adult",""
104,"15",30,5,"104.15.30.5","5/10","Y","5/15",5,12.1,"Y","5/17",7,57.2,"Y","5/20",10,165.4,"Y","Y","5/27",17,"Y","F",74.8,"",NA,"adult",""
105,"8",30,5,"105.8.30.5","5/9","Y","5/15",6,16.4,"Y","5/17",8,64.4,"Y","5/20",11,198.6,"Y","Y","5/27",18,"Y","F",100.7,"",NA,"adult",""
106,"12",30,5,"106.12.30.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
107,"12",30,5,"107.12.30.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
108,"15",30,5,"108.15.30.5","5/10","Y","5/15",5,9.2,"Y","5/17",7,48.7,"Y","5/20",10,195.3,"Y","Y","5/26",16,"Y","F",87,"",NA,"adult","spent 5/13 in 26 chamber"
109,"15",30,5,"109.15.30.5","5/10","Y","5/15",5,6.7,"Y","5/18",8,93.2,"Y","5/21",11,190,"Y","Y","5/27",17,"Y","F",105.9,"",NA,"adult","spent 5/13 in 26 chamber"
110,"8",30,5,"110.8.30.5","5/9","Y","5/15",6,17.5,"Y","5/17",8,113.6,"Y","5/20",11,209.1,"Y","Y","5/26",17,"N","M",171.4,"",NA,"adult","deformed adult"
111,"15",30,5,"111.15.30.5","5/9","Y","5/15",6,14.5,"Y","5/17",8,63.8,"Y","5/20",11,177.8,"Y","N","",NA,"","",NA,"5/29",20,"pupa","spent 5/13 in 26 chamber"
112,"15",30,5,"112.15.30.5","5/9","Y","5/15",6,14.8,"Y","5/17",8,92.1,"Y","5/20",11,207.4,"Y","Y","5/26",17,"Y","M",104.5,"",NA,"adult","spent 5/13 in 26 chamber"
113,"15",30,5,"113.15.30.5","5/10","Y","5/15",5,9.2,"Y","5/17",7,45.1,"Y","5/20",10,162.3,"Y","Y","5/27",17,"Y","F",78.6,"",NA,"adult","spent 5/13 in 26 chamber"
114,"8",30,5,"114.8.30.5","5/9","Y","5/15",6,9.3,"Y","5/18",9,49.1,"N","",NA,NA,"","N","",NA,"","",NA,"5/22",13,"5","problems molting to 5th"
115,"8",30,5,"115.8.30.5","5/9","Y","5/15",6,11.4,"Y","5/17",8,52.4,"Y","5/22",13,214.6,"N","N","",NA,"","",NA,"5/23",14,"pupal int",""
116,"15",30,5,"116.15.30.5","5/11","Y","5/15",4,10.8,"Y","5/17",6,49.5,"Y","5/20",9,175.6,"Y","Y","5/26",15,"N","M",102.7,"",NA,"adult","deformed adult"
117,"24",34,5,"117.24.34.5","5/13","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",2,"1",""
118,"3",34,5,"118.3.34.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
119,"3",16,5,"119.3.16.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
120,"3",16,5,"120.3.16.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
121,"M1",16,5,"121.M1.16.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
