CID,SIB,Mean.Temp,Temp.Var,UniID,Date.hatch,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,PupateOk,Surv.eclose,Date.eclose,Time.eclose,EcloseOk,Sex,Mass.adult,Date.dead,Time.death,Stage.final,Notes
368,8,16,5,368.8.16.5,5/12,,5/30,18,9.6,,6/7,26,37.7,,6/19,38,237.6,N,,,,,,,6/19,38,pupa int,
369,15,16,5,369.15.16.5,5/12,,5/31,19,8.3,,6/7,26,38.7,,6/18,37,239.3,N,,,,,,,6/18,37,pupa int,
371,3,16,5,371.3.16.5,5/14,,5/31,17,8.3,,6/7,24,36.8,,6/21,38,234.7,N,,,,,,,6/21,38,pupa int,
372,3,16,5,372.3.16.5,5/14,,5/31,17,11,,6/6,23,45.1,,6/19,36,275,N,,,,,,,6/19,36,pupa int,
373,15,16,5,373.15.16.5,5/12,,5/31,19,12.3,,6/6,25,39.8,,6/18,37,188.5,N,,,,,,,6/18,37,pupa int,
375,M1,16,5,375.M1.16.5,5/14,,5/31,17,10.4,,6/6,23,31.6,,6/18,35,202.1,N,,,,,,,6/18,35,pupa int,
376,3,16,5,376.3.16.5,5/15,,5/31,16,9.5,,6/7,23,44,,6/19,35,261.2,N,,,,,,,6/19,35,pupa int,
382,M1,16,5,382.M1.16.5,5/14,,6/1,18,7,,6/9,26,31.5,,6/23,40,188.8,N,,,,,,,6/23,40,pupa int,
385,3,16,5,385.3.16.5,5/15,,6/4,20,8.7,,6/12,28,34.5,,6/25,41,205.2,N,,,,,,,6/25,41,pupa int,
70,15,30,5,70.15.30.5,5/9,,5/14,5,18.1,,5/16,7,54.7,,5/19,10,174.9,Y,,,,,,,5/30,21,pupa,
73,8,30,5,73.8.30.5,5/9,,5/14,5,27.7,,5/15,6,45.2,,5/19,10,234.7,Y,,,,,,,5/29,20,pupa,
75,8,30,5,75.8.30.5,5/9,,5/14,5,18.6,,5/16,7,96.2,,5/19,10,178.9,Y,,,,,,,5/30,21,pupa,
88,8,26,5,88.8.26.5,5/9,,5/14,5,8.7,,5/16,7,34.1,,5/21,12,226.28,Y,,,,,,,5/29,20,pupa,
93,8,26,5,93.8.26.5,5/9,,5/15,6,13.5,,5/17,8,49.3,,5/21,12,157.1,Y,,,,,,,5/31,22,pupa,
100,24,30,5,100.24.30.5,5/10,,5/15,5,14.3,,5/17,7,74.7,,5/20,10,201.1,Y,,,,,,,5/29,19,pupa,
101,24,30,5,101.24.30.5,5/10,,5/15,5,7.6,,5/17,7,45.2,,5/20,10,167.1,Y,,,,,,,6/11,32,pupa,
102,24,30,5,102.24.30.5,5/10,,5/15,5,10.5,,5/17,7,63.1,,5/20,10,193.7,Y,,,,,,,5/30,20,pupa,
111,15,30,5,111.15.30.5,5/9,,5/15,6,14.5,,5/17,8,63.8,,5/20,11,177.8,Y,,,,,,,5/29,20,pupa,spent 5/13 in 26 chamber
129,24,26,5,129.24.26.5,5/10,,5/16,6,11.4,,5/18,8,63.2,,5/21,11,164.8,Y,,,,,,,5/29,19,pupa,
132,8,26,5,132.8.26.5,5/10,,5/16,6,21.8,,5/18,8,96.2,,5/21,11,234.02,Y,,,,,,,5/29,19,pupa,
153,24,26,5,153.24.26.5,5/10,,5/17,7,13.9,,5/19,9,68.8,,5/22,12,195.1,Y,,,,,,,5/29,19,pupa,
154,M1,26,5,154.M1.26.5,5/11,,5/17,6,8.4,,5/19,8,45.7,,5/22,11,163.3,Y,,,,,,,5/29,18,pupa,
156,8,26,5,156.8.26.5,5/11,,5/17,6,14.3,,5/19,8,67.8,,5/22,11,181.6,Y,,,,,,,5/30,19,pupa,
160,8,26,5,160.8.26.5,5/11,,5/17,6,12.3,,5/19,8,51.9,,5/22,11,195.9,Y,,,,,,,5/30,19,pupa,
164,12,34,5,164.12.34.5,5/11,,5/17,6,11.2,,5/20,9,44.5,,5/25,14,124.6,Y,,,,,,,6/5,25,pupa,
166,12,34,5,166.12.34.5,5/10,,5/17,7,9.2,,5/20,10,40.4,,5/25,15,112.1,Y,,,,,,,6/1,22,pupa,
167,15,34,5,167.15.34.5,5/11,,5/17,6,5.9,,5/20,9,37.3,,5/25,14,105.2,Y,,,,,,,6/8,28,pupa,
176,3,30,5,176.3.30.5,5/11,,5/17,6,26.4,,5/19,8,132.3,,5/22,11,242.8,Y,,,,,,,5/30,19,pupa,Spent 5/13 in 26 chamber
184,M1,30,5,184.M1.30.5,5/13,,5/18,5,12.5,,5/20,7,54.8,,5/24,11,182.9,Y,,,,,,,6/5,23,pupa,
195,8,21,5,195.8.21.5,5/9,,5/18,9,11.4,,5/21,12,37.9,,5/29,20,177.6,Y,,,,,,,6/7,29,pupa,
196,8,21,5,196.8.21.5,5/9,,5/18,9,11.1,,5/21,12,38.9,,5/29,20,174.8,Y,,,,,,,6/7,29,pupa,
199,15,34,5,199.15.34.5,5/11,,5/18,7,12.4,,5/20,9,44.4,,5/26,15,142.7,Y,,,,,,,6/10,30,pupa,
201,12,34,5,201.12.34.5,5/11,,5/18,7,17.7,,5/20,9,47.4,,5/25,14,138.4,Y,,,,,,,6/10,30,pupa,
211,12,34,5,211.12.34.5,5/14,,5/19,5,8.7,,5/22,8,35.68,,5/27,13,129,Y,,,,,,,6/5,22,pupa,
212,3,34,5,212.3.34.5,5/11,,5/19,8,14.3,,5/22,11,46.61,,5/27,16,142.8,Y,,,,,,,6/9,29,pupa,
219,12,30,5,219.12.30.5,5/14,,5/19,5,7.8,,5/21,7,40.3,,5/26,12,199.9,Y,,,,,,,6/5,22,pupa,
220,12,30,5,220.12.30.5,5/14,,5/19,5,11.6,,5/21,7,37.1,,5/26,12,166.4,Y,,,,,,,6/5,22,pupa,
223,M1,30,5,223.M1.30.5,5/13,,5/19,6,8.8,,5/21,8,60.9,,5/24,11,176.9,Y,,,,,,,6/5,23,pupa,
228,M1,30,5,228.M1.30.5,5/14,,5/19,5,14.2,,5/21,7,70.3,,5/24,10,146.3,Y,,,,,,,5/30,16,pupa,
229,M1,30,5,229.M1.30.5,5/14,,5/19,5,25,,5/20,6,51.3,,5/23,9,165.5,Y,,,,,,,6/1,18,pupa,
231,8,21,5,231.8.21.5,5/9,,5/19,10,12.9,,5/22,13,37.5,,5/30,21,170.3,Y,,,,,,,6/5,27,pupa,
234,M1,30,5,234.M1.30.5,5/14,,5/20,6,10.6,,5/22,8,54.34,,5/26,12,176.1,Y,,,,,,,6/5,22,pupa,
237,12,30,5,237.12.30.5,5/14,,5/20,6,14.3,,5/22,8,47.52,,5/27,13,195.2,Y,,,,,,,6/11,28,pupa,
238,12,30,5,238.12.30.5,5/14,,5/20,6,10.1,,5/22,8,46.07,,5/27,13,184.9,Y,,,,,,,6/5,22,pupa,
241,M1,30,5,241.M1.30.5,5/14,,5/20,6,18.8,,5/22,8,78.95,,5/25,11,180.7,Y,,,,,,,6/5,22,pupa,
242,M1,30,5,242.M1.30.5,5/14,,5/20,6,16.1,,5/22,8,48,,5/26,12,154.7,Y,,,,,,,6/5,22,pupa,
243,M1,30,5,243.M1.30.5,5/14,,5/20,6,16.4,,5/22,8,73.9,,5/26,12,190.9,Y,,,,,,,6/5,22,pupa,
244,M1,30,5,244.M1.30.5,5/14,,5/20,6,13.9,,5/22,8,52.81,,5/26,12,179.2,Y,,,,,,,6/5,22,pupa,
248,12,34,5,248.12.34.5,5/14,,5/20,6,13.9,,5/24,10,54.6,,5/28,14,125.8,Y,,,,,,,6/5,22,pupa,
249,12,34,5,249.12.34.5,5/14,,5/20,6,16.6,,5/23,9,44,,5/28,14,113.5,Y,,,,,,,6/8,25,pupa,
