CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,DaysPtoE,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP
157,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.65,6/13/2023,58.05,21,6/17/23,13,175.09,Yes,6/28/2023,63.45,11,,male,Yes,,,13
158,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,10.34,6/14/2023,52.88,26,6/18/23,14,,No,,,,,,,6/18/2023,170.44,14
159,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.49,6/13/2023,64.89,30,6/16/2023,12,,No,,,,,,,6/17/23,150.51,12
160,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,13.32,6/13/2023,57.52,34,6/17/23,13,176.85,Yes,,,,,,,6/27/2023,,13
161,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,10.75,6/14/2023,82.28,16,6/18/23,14,156.81,Yes,,,,,,,7/10/2023,,14
162,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.67,6/13/2023,63.01,21,6/18/23,14,127.85,Yes,6/28/2023,76.01,10,,female,Yes,,,14
163,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,20.66,6/13/2023,91.48,26,6/16/2023,12,173.22,Yes,,,,,,,6/25/2023,,12
164,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.7,6/13/2023,45,30,6/17/23,13,192.5,Yes,6/24/2023,148.95,7,,female,No,,,13
165,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.61,6/13/2023,39.52,34,6/17/23,13,,No,,,,,,,6/17/2023,178.03,13
166,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,13.88,6/14/2023,105.65,16,6/18/23,14,,No,,,,,,,6/18/2023,183.22,14
167,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.46,6/13/2023,,21,6/17/23,13,175.25,Yes,6/28/2023,103.77,11,,male,Yes,,,13
168,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,63.5,26,6/16/2023,12,268.72,Yes,6/23/2023,142.75,7,,male,Yes,,,12
169,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,64.99,30,6/16/2023,12,256.78,Yes,6/23/2023,206.31,7,,male,No,,,12
170,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,52.96,34,6/17/23,13,208.43,Yes,6/24/2023,189.1,7,,male,No,,,13
171,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,63.73,16,6/16/2023,12,261.7,Yes,07/02/2023,144.74,16,,male,Yes,,,12
172,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,62.49,21,6/16/2023,12,,No,,,,,,,6/17/23,232.61,12
173,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,76.07,26,6/16/2023,12,197.47,Yes,6/22/2023,135.53,6,,male,No,,,12
174,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,59.28,30,6/16/2023,12,250.68,Yes,6/23/2023,119.66,7,,male,Yes,,,12
175,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,70.5,34,6/16/2023,12,181.27,Yes,6/22/2023,92.57,6,,male,No,,,12
176,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,43.07,16,6/16/2023,12,197.28,Yes,7/3/2023,163.53,17,,female,No,,,12
177,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,84.53,21,6/16/2023,12,244.56,Yes,6/27/2023,189.05,11,,male,Yes,,,12
178,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,68.77,26,6/16/2023,12,227.43,Yes,6/23/2023,177.81,7,,male,Yes,,,12
179,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,56.86,30,6/16/2023,12,,No,,,,,,,6/17/23,214.28,12
180,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/13/2023,113.09,34,6/16/2023,12,239.21,Yes,6/24,131.64,8,,male,No,,,12
181,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.57,6/13/2023,89.13,16,6/16/2023,12,227.14,Yes,7/5/2023,167.58,19,,male,Yes,,,12
182,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.71,6/13/2023,72.67,21,6/17/23,13,236.64,Yes,6/28/2023,149.37,11,,male,Yes,,,13
183,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.49,6/13/2023,53.61,26,6/17/23,13,178.5,Yes,6/24/2023,90.41,7,,male,Yes,,,13
184,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.37,6/13/2023,75.26,30,6/16/2023,12,,No,,,,,,,6/17/23,156.18,12
185,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,48.44,34,6/16/2023,12,211.94,Yes,,,,,,,6/25/2023,,12
186,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.09,6/13/2023,32.7,16,6/17/23,13,135.19,Yes,7/3/2023,63.02,16,,female,Yes,,,13
187,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,21.54,6/13/2023,107.43,21,6/16/2023,12,213.44,Yes,6/26/2023,133.32,10,,male,Yes,,,12
188,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.03,6/14/2023,95.12,26,6/17/23,13,169.93,Yes,6/24/2023,83.14,7,,male,Yes,,,13
189,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,9.27,6/15/2023,73.49,30,6/18/23,15,169.42,Yes,6/24/2023,98.91,6,,male,Yes,,,15
191,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,12.27,6/15/2023,83.05,16,6/20/2023,17,,No,,,,,,,6/20/2023,202.89,17
192,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,21.54,6/14/2023,48.94,21,6/18/23,15,216.15,Yes,7/1/2023,95.8,13,,male,No,,,15
193,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,10.94,6/15/2023,70.98,26,6/19/2023,16,,No,,,,,,,6/19/2023,181.86,16
194,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,7.65,6/15/2023,45.23,30,6/19/2023,16,186.69,Yes,6/26/2023,103.12,7,,female,Yes,,,16
195,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,20.85,6/14/2023,54.95,34,6/20/2023,17,230.89,Yes,,,,,,,7/2/2023,,17
196,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,6.12,6/15/2023,35.29,16,6/20/2023,17,,No,,,,,,,6/20/2023,174.22,17
197,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,23.67,6/14/2023,58.51,21,6/18/2023,15,,No,,,,,,,6/18/2023,209.49,15
198,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,12.56,6/15/2023,45.46,26,6/19/2023,14,197.43,Yes,6/26/2023,94.9,7,,male,Yes,,,14
199,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,16.88,6/14/2023,44.43,30,6/19/2023,14,207.36,Yes,,,,,,,6/25/2023,,14
200,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,10.92,6/15/2023,25.12,34,6/20/2023,15,141.78,Yes,7/1/2023,29.36,11,,unk,No,7/1/2023,,15
201,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,13.59,6/14/2023,38.24,16,6/19/2023,14,194.42,Yes,7/7/2023,86.63,18,,female,Yes,,,14
202,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,13.8,6/14/2023,47.56,21,6/18/23,13,205.04,Yes,6/29/2023,86.23,11,,male,Yes,,,13
203,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,10.98,6/15/2023,46.14,26,6/20/2023,15,,No,,,,,,,6/20/2023,207.33,15
204,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,8.74,6/15/2023,39.58,30,6/19/2023,14,130.29,Yes,6/25/2023,115.09,6,,female,No,,,14
205,BC1,6/5/2023,Elysian,plant,26+-5,,,,,6/12/2023,50.58,34,6/16/2023,11,161.4,Yes,6/24/2023,92.55,8,,male,No,,,11
206,BC1,6/5/2023,Elysian,plant,26+-5,,,6/12/2023,8.82,6/15/2023,48.04,16,6/20/2023,15,203.37,Yes,7/8/2023,169.17,18,,male,Yes,,,15
207,BC1,6/4/2023,Elysian,plant,26C,,,6/13/2023,7.29,6/16/2023,24.84,21,6/23/2023,19,124.75,Yes,7/9/2023,51.13,16,,unk,No,,,19
208,BC1,6/4/2023,Elysian,plant,26C,,,6/13/2023,12.45,6/16/2023,65.8,26,6/20/2023,16,215.72,Yes,6/28/2023,89.25,8,,male,Yes,,,16
209,BC1,6/4/2023,Elysian,plant,26C,,,6/13/2023,11.67,6/16/2023,42.86,30,6/21/2023,17,157.36,Yes,6/27/2023,80.02,6,,female,Yes,,,17
210,BC1,6/4/2023,Elysian,plant,26C,,,6/13/2023,14.05,6/16/2023,44.95,34,6/23/2023,19,,No,,,,,,,6/23/2023,209.34,19
212,BC1,6/4/2023,Elysian,plant,26C,,,6/13/2023,11.64,6/16/2023,57.62,21,6/21/2023,17,,No,,,,,,,6/21/2023,174.62,17
213,BC1,6/5/2023,Elysian,plate,26+-5,,,6/13/2023,8.75,6/16/2023,24.45,26,6/22/2023,17,158.38,Yes,7/1/2023,64.98,9,,male,Yes,,,17
214,BC1,6/5/2023,Elysian,plate,26+-5,,,6/13/2023,17.78,6/15/2023,54.01,30,6/20/2023,15,229.25,Yes,,,,,,,7/1/2023,,15
215,BC1,6/6/2023,Elysian,plant,26+-5,,,6/13/2023,10.17,6/16/2023,59.74,34,6/21/2023,15,207.56,Yes,6/30/2023,81.5,9,,female,No,,,15
216,BC1,6/6/2023,Elysian,plant,26+-5,,,6/13/2023,11.71,6/16/2023,62.15,16,6/20/2023,14,200.05,Yes,7/8/2023,180.45,18,,female,No,,,14
217,BC1,6/6/2023,Elysian,plant,26+-5,,,6/13/2023,7.69,6/16/2023,53.52,21,6/20/2023,14,187.42,Yes,7/1/2023,78.21,11,,male,Yes,,,14
218,BC1,6/6/2023,Elysian,plant,26+-5,,,6/13/2023,11.15,6/16/2023,61.68,26,6/20/2023,14,192.41,Yes,6/27/2023,97.58,7,,female,No,,,14
219,BC1,6/6/2023,Elysian,plant,26+-5,,,6/13/2023,11.03,6/16,62.97,30,6/20/2023,14,215.02,Yes,6/26/2023,127.19,6,,male,Yes,,,14
220,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,18.37,6/16/2023,37.01,34,6/21/2023,15,197.39,Yes,6/28/2023,100.98,7,,male,No,,,15
221,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,10.83,6/16/2023,35.08,16,6/21/2023,15,202.38,Yes,7/9/2023,92.7,18,,female,Yes,,,15
222,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,16.42,6/16/2023,50.14,21,6/20/2023,14,191.68,Yes,7/1/2023,88.59,11,,female,Yes,,,14
223,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,10.93,6/16/2023,35.09,26,6/21/2023,15,208.58,Yes,6/28/2023,112.72,7,,female,Yes,,,15
224,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,9.62,6/17/23,79.92,30,6/21/2023,15,171.65,Yes,6/27/2023,86.88,6,,female,Yes,,,15
225,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,11.16,6/16/2023,38.86,34,6/20/2023,14,174.76,Yes,6/27/2023,82.76,7,,male,Yes,,,14
226,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,13.36,6/16/2023,41.32,16,6/20/2023,14,166.94,Yes,7/7/2023,83.25,17,,female,Yes,,,14
227,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,11.54,6/17/23,62.55,21,6/22/2023,16,,No,,,,,,,6/22/2023,218.01,16
228,BC1,6/6/2023,Elysian,plant,26+-5,,,6/14/2023,12.55,6/17/23,94.02,26,6/21/2023,15,188.02,Yes,6/28/2023,88.06,7,,female,Yes,,,15
229,BC1,6/4/2023,Elysian,plant,26C,,,6/14/2023,8.81,6/17/23,55.66,30,6/23/2023,19,187.77,Yes,6/29/2023,91.05,6,,male,Yes,,,19
230,BC1,6/5/2023,Elysian,plant,26+-5,,,6/15/2023,18.65,6/18/23,86.58,34,6/22/2023,17,219.02,Yes,6/30/2023,109.75,8,,male,No,,,17
231,BC1,6/5/2023,Elysian,plant,26C,,,6/15/2023,17.11,6/17/23,67.58,16,6/21/2023,16,226.59,Yes,7/8/2023,129.08,17,,male,Yes,,,16
232,BC1,6/5/2023,Elysian ,plant,26C,,,6/15/2023,9.51,6/18/23,49.82,21,6/23/2023,18,179.72,Yes,7/4/2023,165.97,11,,female,No,,,18
233,BC1,6/5/2023,Elysian,plant,26C,,,6/15/2023,12.93,6/18/23,51.85,26,6/25/2023,20,182.92,Yes,7/2/23,120.22,7,,female,,,,20
234,BC1,6/6/2023,Elysian,plant,26C,,,6/15/2023,15.49,6/17/23,56.62,30,6/21/2023,15,184.33,Yes,6/27/2023,125.3,6,,female,No,,,15
235,BC1,6/6/2023,Elysian,plant,26+-5,,,6/15/2023,18.01,6/17/23,53.2,34,6/22/2023,16,208.93,Yes,6/30/2023,108.93,8,,male,No,,,16
236,BC1,6/6/2023,Elysian,plant,26C,,,6/15/2023,10.76,6/18/23,62.91,16,6/22/2023,16,179.63,Yes,7/7/2023,89.42,15,,male,Yes,,,16
237,BC1,6/6/2023,Elysian,plant,26C,,,6/15/2023,8.04,6/18/23,52.14,21,6/23/2023,17,200.04,Yes,7/5/2023,102.68,12,,male,Yes,,,17
238,BC1,6/6/2023,Elysian,plant,26+-5,,,6/16/2023,14.7,6/19/2023,52.34,26,6/24/2023,18,,No,,,,,,,6/24/2023,199.68,18
239,BC1,6/6/2023,Elysian,plant,26+-5,,,6/16/2023,14.37,6/19/2023,63.34,30,6/23/2023,17,,Yes,,,,,,,6/23/2023,,17
240,BC1,6/6/2023,Elysian,plant,26+-5,,,6/16/2023,11.41,6/19/2023,52.44,34,6/24/2023,18,,No,,,,,,,6/24/2023,203.45,18
242,BC1,6/4/2023,Elysian,plant,26C,,,6/16/2023,14.63,6/20/2023,71.69,21,6/26/2023,22,,No,,,,,,,6/26/2023,218.69,22
243,BC1,6/4/2023,Elysian,plant,26+-5,,,6/17/2023,26.23,6/19/2023,75.24,26,6/26/2023,22,,No,,,,,,,6/26/2023,244.5,22
244,BC1,6/6/2023,Elysian,plant,26+-5,,,6/19/2023,10.19,6/22/2023,44.17,30,6/27/2023,21,,No,,,,,,,6/27/2023,212.35,21
245,BC1,6/6/2023,Elysian,plant,26+-5,,,6/19/2023,6.39,6/24/2023,41.11,26,7/4/2023,28,147.71,Yes,7/12/2023,76.23,8,,male,No,,,28
