CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,DaysPtoE,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP
033,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,7.77,6/9/2023,77.23,26,6/13/2023,12,186.72,Yes,6/19/2023,109.21,6,,Male,No,,,12
034,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.27,6/8/2023,44.5,30,6/12/2023,11,187.62,Yes,6/18/2023,96.18,6,,Female,,,,11
035,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.97,6/9/2023,54.88,34,6/13/2023,12,148.26,Yes,,,,,,,6/25/2023,,12
036,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,12.9,6/8/2023,47.66,16,6/13/2023,12,230.16,Yes,07/02/2023,111.43,19,,male,Yes,,,12
037,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,25.94,6/8/2023,73.68,21,6/12/2023,11,,No,,,,,,,6/12/2023,184.47,11
038,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,9.52,6/9/2023,49.18,26,6/13/2023,12,179.31,Yes,6/20/2023,89.53,7,,Female,Yes,,,12
039,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,10.66,6/9/2023,51.02,30,6/13/2023,12,183.51,Yes,6/19/2023,104.95,6,,Female,Yes,,,12
040,BC1,6/1/2023,Elysian,plant,26C,,,6/6/2023,17.85,6/8/2023,52.55,34,6/12/2023,11,210.39,Yes,6/20/2023,105.43,8,,male,No,,,11
041,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,13.29,6/9/2023,107.12,16,6/12/2023,12,232.52,Yes,6/30/2023,138.68,18,,male,Yes,,,12
042,BC1,5/31/2023,Elysian,diet,26C,,,6/6/2023,12.33,6/9/2023,43.09,21,6/13/2023,13,308.4,Yes,,,,,,,6/28/2023,,13
043,BC1,5/29/2023,Elysian,diet,26C,,,6/6/2023,15.95,6/8/2023,38.08,26,6/12/2023,14,,No,,,,,,,6/12/2023,177.8,14
045,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,33.37,6/9/2023,91.16,34,6/13/2023,12,246.32,Yes,,,,,,,6/25/2023,,12
046,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,18.2,6/9/2023,46.64,16,6/13/2023,12,191.9,Yes,7/3/2023,104.9,20,,female,Yes,,,12
047,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,19.75,6/9/2023,56.55,21,6/13/2023,12,224.13,Yes,6/25/2023,111.16,12,,female,Yes,,,12
048,BC1,5/30/2023,Elysian,diet,26C,,,6/7/2023,17.21,6/9/2023,34.02,26,6/14/2023,15,167.58,Yes,6/21/2023,81.33,7,,female,Yes,,,15
049,BC1,6/1/2023,Elysian,plant,26C,,,6/7/2023,16.97,6/9/2023,47.59,30,6/13/2023,12,181.65,Yes,6/20/2023,89.63,7,,female,Yes,,,12
050,BC1,6/2/2023,Elysian,diet,26C,,,6/7/2023,10.43,6/9/2023,37.01,34,6/14/2023,12,202.02,Yes,,,,,,,6/25/2023,,12
051,BC1,5/31/2023,Elysian,diet,26C,,,6/7/2023,12.24,6/10/2023,85.95,16,6/13/2023,13,,No,,,,,,,6/13/2023,165.43,13
052,BC1,5/30/2023,Elysian,diet,26C,,,6/7/2023,15.81,6/10/2023,116.44,21,6/14/2023,15,219.81,Yes,6/25/2023,145.62,11,,male,Yes,,,15
053,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,14.01,6/10/2023,46.1,26,6/14/2023,11,202.36,Yes,,,,,,,6/23/2023,,11
054,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,12.7,6/10/2023,41.73,30,6/15/2023,12,216.77,Yes,6/22/2023,114.66,7,,male,Yes,,,12
055,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,9.74,6/10/2023,38.87,34,6/15/2023,12,171.58,Yes,6/23/2023,68.25,8,,male,No,,,12
056,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.86,6/10/2023,45.96,16,6/14/2023,11,223.37,Yes,07/02/2023,104.29,18,,male,Yes,,,11
057,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.04,6/10/2023,46.99,21,6/16/2023,13,,No,,,,,,,6/16/2023,178.44,13
058,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,11.8,6/10/2023,43.29,26,6/14/2023,11,197.12,Yes,6/21/2023,92.36,7,,female,Yes,,,11
059,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,15.69,6/10/2023,52.7,30,6/14/2023,13,187.22,Yes,,,,,,,6/23/2023,,13
060,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,17.54,6/10/2023,42.03,34,6/14/2023,13,177.12,Yes,,,,,,,6/25/2023,,13
061,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,13.96,6/10/2023,40.75,16,6/15/2023,14,198.5,Yes,7/3/2023,109.06,18,,male,Yes,,,14
062,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,18.03,6/10/2023,39.94,21,6/15/2023,14,221.52,Yes,6/26/2023,157.28,11,,male,Yes,,,14
063,BC1,6/1/2023,Elysian,plant,26C,,,6/8/2023,15.97,6/10/2023,56.81,26,6/16/2023,15,196.81,Yes,6/22/2023,120.95,6,,female,Yes,,,15
064,BC1,6/2/2023,Elysian,plant,26C,,,6/8/2023,10.59,6/10/2023,30.29,30,6/15/2023,13,191.29,Yes,6/22/2023,104.86,7,,male,No,,,13
065,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,20.12,6/10/2023,86.2,34,6/13/2023,10,163.39,Yes,,,,,,,7/5/2023,,10
066,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.7,6/10/2023,43.87,16,6/14/2023,11,189.44,Yes,7/3/2023,155.97,19,,male,Yes,,,11
067,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.57,6/10/2023,45.9,21,6/15/2023,12,210.85,Yes,,,,,,,,,12
068,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,11.95,6/10/2023,40.2,26,6/14/2023,11,196.62,Yes,6/25/2023,103.77,11,,,Yes,6/23/2023,,11
069,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,17.93,6/10/2023,45.03,30,6/14/2023,11,201.2,Yes,,,,,,,6/25/2023,,11
070,BC1,5/30/2023,Elysian,diet,26C,,,6/8/2023,14.23,6/11/2023,49.01,34,6/15/2023,16,202.19,Yes,6/23/2023,95.88,8,,male,No,,,16
071,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,18.98,6/10/2023,54.61,16,6/15/2023,15,151.18,Yes,7/3/2023,133.34,18,,female,No,,,15
072,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,21.81,6/10/2023,53.58,21,6/15/2023,15,240.08,Yes,6/25/2023,117.25,10,,male,Yes,,,15
073,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,10.77,6/10/2023,34.19,26,6/14/2023,14,,No,,,,,,,6/14/2023,154.52,14
074,BC1,5/31/2023,Elysian,diet,26C,,,6/8/2023,12.6,6/10/2023,42.74,30,6/14,14,152.97,Yes,,,,,,,6/28/2023,,14
075,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,18.66,6/10/2023,65.07,34,6/14/2023,14,196.78,Yes,6/22/2023,128.97,8,,male,Yes,,,14
