CID,Treatment,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.adult,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.death,DaysHtoP,DaysPtoE
065,26,6/20/2023,6/23/2023,,6/26/2023,6,13.14,,6/29/2023,9.00,46.12,,7/3/2023,13.00,161.36,Yes,,,,,,,7/14/2023,24.00,13,
066,26,6/20/2023,6/23/2023,,6/26/2023,6,14.3,,6/28/2023,8.00,39.27,,7/3/2023,13.00,137.16,Yes,,7/13/2023,23.00,34.25,female,No,7/13/2023,23.00,13,10
067,26,6/20/2023,6/23/2023,,6/25/2023,5,8.14,,6/28/2023,8.00,39.02,,7/3/2023,13.00,164.07,Yes,,7/10,20.00,72.73,male,Yes,,,13,7
069,26,6/20/2023,6/23/2023,,6/26/2023,6,14.47,,6/29/2023,9.00,41.06,,7/3/2023,13.00,182.13,Yes,,,,,,,7/15/2023,25.00,13,
070,26,6/20/2023,6/23/2023,,6/25/2023,5,8.54,,6/28/2023,8.00,45.12,,7/2/23,12.00,194.19,Yes,,7/9/2023,19.00,116.27,male,Yes,,,12,7
096,26,6/20/2023,6/24/2023,,6/27/2023,7,10.02,,6/30/2023,10.00,62.86,,7/5/2023,15.00,187.01,Yes,,7/13/2023,23.00,91.16,male,Yes,,,15,8
097,26,6/20/2023,6/24/2023,,6/26/2023,6,10.02,,6/30/2023,10.00,50.65,,7/4/2023,14.00,204.38,Yes,,7/12,22.00,97.92,male,Yes,,,14,8
099,26,6/20/2023,6/24/2023,,6/26/2023,6,10.05,,6/29/2023,9.00,34.78,,7/4/2023,14.00,178.35,Yes,,7/12,22.00,91.51,female,No,,,14,8
100,26,6/20/2023,6/24/2023,,6/26/2023,6,11.46,,6/29/2023,9.00,41.92,,7/4/2023,14.00,233.31,Yes,,7/12,22.00,125.06,male,Yes,,,14,8
101,26,6/20/2023,6/24/2023,,6/26/2023,6,11.32,,6/29/2023,9.00,35.27,,7/4/2023,14.00,166.79,Yes,,7/12,22.00,87.9,female,Yes,,,14,8
102,26,6/20/2023,6/24/2023,,6/26/2023,6,13.36,,6/29/2023,9.00,89.52,,7/3/2023,13.00,212.55,Yes,,7/10,20.00,98.52,male,Yes,,,13,7
103,26,6/20/2023,6/24/2023,,6/26/2023,6,11.38,,6/29/2023,9.00,28.84,,7/5/2023,15.00,177.65,Yes,,7/13/2023,23.00,77.92,male,Yes,,,15,8
104,26,6/19/2023,6/24/2023,,6/26/2023,7,17.49,,6/29/2023,10.00,29.22,,7/4/2023,15.00,169.18,Yes,,7/11,22.00,76.3,female,Yes,,,15,7
105,26,6/19/2023,6/24/2023,,6/27/2023,8,9.33,,6/30/2023,11.00,58.32,,7/4/2023,15.00,171.1,Yes,,7/11,22.00,82.25,female,Yes,,,15,7
107,26,6/19/2023,6/24/2023,,6/26/2023,7,18.35,,6/29/2023,10.00,42.08,,7/4/2023,15.00,164.11,Yes,,7/12,23.00,78.09,male,Yes,,,15,8
120,26,6/19/2023,6/25/2023,,6/27/2023,8,19.26,,6/30/2023,11.00,66.56,,7/6/2023,17.00,153.8,No,,,,,,,7/8/2023,19.00,17,
123,26,6/21/2023,6/25/2023,,6/28/2023,7,12.25,,6/30/2023,9.00,32.32,,7/6/2023,15.00,157.44,No,,,,,,,7/6/2023,15.00,15,
124,26,6/21/2023,6/25/2023,,6/27/2023,6,8.55,,6/30/2023,9.00,38.01,,7/4/2023,13.00,146.23,No,,,,,,,7/4/2023,13.00,13,
125,26,6/21/2023,6/25/2023,,6/28/2023,7,8.49,,7/1/2023,10.00,34.25,,7/7/2023,16.00,170.02,Yes,,7/14,23.00,74.32,female,Yes,,,16,7
163,26,6/21/2023,6/26/2023,,6/30/2023,9,31.01,,7/1/2023,10.00,62.22,,7/6/2023,15.00,101.33,No,,,,,,,,,15,
164,26,6/21/2023,6/26/2023,,6/28/2023,7,12.42,,7/1/2023,10.00,33.91,,7/6/2023,15.00,142.91,Yes,,,,,,,7/14/2023,23.00,15,
166,26,6/21/2023,6/26/2023,,6/28/2023,7,14.27,,6/30/2023,9.00,58.13,,7/4/2023,13.00,194.98,Yes,,,,,,,7/14/2023,23.00,13,
167,26,6/23/2023,6/26/2023,,6/28/2023,5,6.48,,7/1/2023,8.00,20.17,,7/6/2023,13.00,151.85,Yes,,7/13/2023,20.00,76.13,female,Yes,,,13,7
202,26,6/19/2023,6/27/2023,,6/29/2023,10,10.33,,7/1/2023,12.00,29.23,,7/7/2023,18.00,155.11,No,,,,,,,,,18,
203,26,6/19/2023,6/25/2023,,6/27/2023,8,10.11,,6/29/2023,10.00,30.84,,7/3/2023,14.00,159.36,Yes,,,,,,,7/14/2023,25.00,14,
204,26,6/19/2023,6/27/2023,,6/29/2023,10,11.23,,7/2/23,13.00,32.05,,7/10/2023,21.00,159.14,No,,,,,,,7/10/2023,21.00,21,
205,26,6/19/2023,6/25/2023,,6/27/2023,8,5.23,,7/1/2023,12.00,27.61,,7/6/2023,17.00,144.71,Yes,,7/14,25.00,70.5,female,Yes,,,17,8
206,26,6/21/2023,6/27/2023,,6/29/2023,8,6.24,,7/3/2023,12.00,43.14,,7/9/2023,18.00,161.11,No,,,,,,,7/9/2023,18.00,18,
207,26,6/22/2023,6/27/2023,,6/29/2023,7,12.39,,7/1/2023,9.00,31.76,,7/7/2023,15.00,128.83,No,,,,,,,7/7/2023,15.00,15,
216,26,6/22/2023,6/28/2023,,7/1/2023,9,11.38,,7/5/2023,13.00,51.44,,7/10/2023,18.00,143.02,Yes,,7/18/2023,26.00,81.22,male,Yes,,,18,8
217,26,6/22/2023,6/28/2023,,7/1/2023,9,11.55,,7/6/2023,14.00,30.22,,7/12/2023,20.00,165.38,Yes,,7/20/2023,28.00,78.27,female,Yes,,,20,8
218,26,6/23/2023,6/28/2023,,7/1/2023,8,13.89,,7/4/2023,11.00,33.8,,7/9/2023,16.00,167.14,Yes,,,,,,,7/20/2023,27.00,16,
