CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
074,Perrywinkle,leaf,16,6/20/2023,7/3/2023,,7/9/2023,19,12.72,,7/16/2023,26,45.56,,7/29/2023,39,185.83,Y,,,,,,,,,
075,Perrywinkle,leaf,16,6/20/2023,7/3/2023,,7/8/2023,18,14.17,,7/15/2023,25,48.91,,7/26/2023,36,268.56,N,,,,,,,7/26/2023,36,INT
076,Colony,leaf,16,6/25/2023,7/3/2023,,7/9/2023,14,9.38,,7/17/2023,22,32.58,,7/30/2023,35,165.64,N,,,,,,,7/30/2023,35,INT
077,Colony,leaf,16,6/25/2023,7/3/2023,,7/9,14,8.52,,7/16/2023,21,48.49,,7/30/2023,35,214.8,N,,,,,,,7/30/2023,35,INT
078,Perrywinkle,leaf,16,6/21/2023,7/3/2023,,7/9/2023,18,9.77,,7/16/2023,25,43.64,,7/29/2023,38,236.21,N,,,,,,,7/29/2023,38,INT
079,Colony,leaf,16,6/26/2023,7/3/2023,,7/8/2023,12,11.68,,7/14/2023,18,43.55,,7/24/2023,28,242.57,N,,,,,,,7/24/2023,28,INT
080,Colony,leaf,16,6/26/2023,7/3/2023,,7/8/2023,12,13.05,,7/14/2023,18,43.02,,7/25/2023,29,213.11,Y,,8/11/2023,46,85.11,male,Y,,,
081,Colony,leaf,34,6/29/2023,7/3/2023,,7/6/2023,7,11.76,,7/9/2023,10,40.36,,7/13/2023,14,95.26,N,,,,,,,7/13/2023,14,INT
082,Colony,leaf,34,6/27/2023,7/3/2023,,7/6/2023,9,14.84,,7/11/2023,14,83.42,,7/18/2023,21,114.73,N,,,,,,,7/18/2023,21,INT
083,Colony,leaf,34,6/29/2023,7/3/2023,,7/7/2023,8,10.43,,,,,,,,,,,,,,,,7/17/2023,18,
084,Colony,leaf,34,6/29/2023,7/3/2023,,,,,,,,,,,,,,,,,,,,7/14/2023,15,
085,Colony,leaf,34,6/29/2023,7/3/2023,,,,,,,,,,,,,,,,,,,,7/4/2023,5,
086,Colony,leaf,34,6/29/2023,7/3/2023,,7/8/2023,9,12.22,,,,,,,,,,,,,,,,7/22/2023,23,shriveled up
087,Colony,leaf,34,6/27/2023,7/3/2023,,,,,,,,,,,,,,,,,,,,7/4/2023,7,
088,Colony,leaf,34,6/27/2023,7/3/2023,,7/6/2023,9,12.68,,7/12/2023,15,47.03,,7/18/2023,21,91.64,N,,,,,,,7/18/2023,21,INT
089,Colony,leaf,34,6/27/2023,7/3/2023,,7/6/2023,9,11.96,,7/10/2023,13,57.53,,7/17/2023,20,88.94,N,,,,,,,7/17/2023,20,INT
090,Perrywinkle,leaf,34,6/28/2023,7/3/2023,,7/4/2023,6,7.45,,7/10/2023,12,49.47,,7/14/2023,16,138.4,Y,,,,,,,7/23/2023,25,died as pupa
091,Perrywinkle,leaf,34,6/28/2023,7/3/2023,,7/6/2023,8,13.55,,7/10/2023,12,64.49,,7/14/2023,16,136.23,Y,,,,,,,7/25/2023,27,died as pupa
092,Colony,leaf,21,6/25/2023,7/3/2023,,7/6/2023,11,14.17,,7/10/2023,15,37.81,,7/20/2023,25,165.04,Y,,,,,,,8/4/2023,40,died as pupa
093,Colony,leaf,21,6/25/2023,7/3/2023,,7/8/2023,13,10.72,,7/14/2023,19,54.17,,7/23/2023,28,214.54,Y,,8/3/2023,39,113.57,male,N,,,deformed adult
094,Colony,leaf,21,6/26/2023,7/3/2023,,7/7/2023,11,,,7/12/2023,16,38.84,,7/20/2023,24,176.88,N,,,,,,,7/20/2023,24,INT
095,Colony,leaf,21,6/25/2023,7/3/2023,,7/6/2023,11,26.16,,7/9/2023,14,60.98,,7/20/2023,25,248.12,N,,,,,,,7/20/2023,25,INT
096,Colony,leaf,21,6/25/2023,7/3/2023,,7/6/2023,11,12.17,,7/10/2023,15,46.21,,7/20/2023,25,225.17,N,,,,,,,7/20/2023,25,INT
097,Colony,leaf,21,6/25/2023,7/3/2023,,7/6/2023,11,17.33,,7/10/2023,15,58.41,,7/20/2023,25,219.52,N,,,,,,,7/20/2023,25,INT
098,Colony,leaf,21,6/25/2023,7/3/2023,,,,,,,,,,,,,,,,,,,,7/9/2023,14,shriveled up
099,Perrywinkle,leaf,21,6/28/2023,7/3/2023,,7/8/2023,10,7.24,,7/14/2023,16,67.16,,7/20/2023,22,165.14,N,,,,,,,7/20/2023,22,INT
100,Colony,leaf,21,6/28/2023,7/3/2023,,7/9/2023,11,3.59,,7/15/2023,17,36.42,,7/25/2023,27,185.19,N,,,,,,,7/25/2023,27,INT
101,Colony,leaf,21,6/28/2023,7/3/2023,,7/7/2023,9,7.43,,7/13/2023,15,46.94,,7/22/2023,24,172.72,N,,,,,,,7/22/2023,24,INT
