"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"512","21","Yes","223.78","No",NA,NA,"","","NC2","NC","Larval"
"513","21","Yes","197.84","Yes","10","85.06","female","Yes","NC2","NC","Larval"
"529","16","Yes","212.63","No",NA,NA,"","","NC2","NC","Larval"
"532","16","Yes","125.42","No",NA,NA,"","","NC2","NC","Larval"
"1100","30","Yes","153.63","Yes","11","108.65","female","No","CA","CA","Larval"
"2100","26","Yes","141.29","No",NA,NA,"","","CA","CA","Larval"
"3100","26","Yes","110.81","Yes","8","49.07","female","No","CA","CA","Larval"
"4100","26","Yes","180.73","No",NA,NA,"","","CA","CA","Larval"
"537","26","Yes","171.86","Yes","9","46.58","unk","No","CA","CA","Larval"
"710","26","Yes","174.27","Yes","7","93.87","female","Yes","CA","CA","Larval"
"810","26","Yes","172.39","Yes","7","90.71","male","Yes","CA","CA","Larval"
"1010","26","Yes","163.87","No",NA,NA,"","","CA","CA","Larval"
"1110","26","Yes","173.9","No",NA,NA,"","","CA","CA","Larval"
"1310","30","Yes","133.66","Yes","7","56.59","male","Yes","CA","CA","Larval"
"1610","30","Yes","159.5","Yes","7","81.61","female","Yes","CA","CA","Larval"
"1710","30","Yes","157.94","Yes","6","99.4","male","Yes","CA","CA","Larval"
"1810","30","Yes","157.93","Yes","6","74.24","female","Yes","CA","CA","Larval"
"1910","30","Yes","166.96","Yes","7","85.26","female","Yes","CA","CA","Larval"
"2310","30","Yes","161.36","No",NA,NA,"","","CA","CA","Larval"
"2510","34","Yes","116.8","No",NA,NA,"","","CA","CA","Larval"
"2610","34","Yes","142.79","No",NA,NA,"","","CA","CA","Larval"
"2810","34","Yes","141.68","No",NA,NA,"","","CA","CA","Larval"
"3110","34","Yes","72.58","No",NA,NA,"","","CA","CA","Larval"
"3310","30","Yes","138.71","No",NA,NA,"","","CA","CA","Larval"
"3410","30","Yes","174.81","Yes","7","86.52","female","Yes","CA","CA","Larval"
"3510","30","Yes","160.12","Yes","7","85.44","female","No","CA","CA","Larval"
"3610","30","Yes","168.34","No",NA,NA,"","","CA","CA","Larval"
