"","CID","Treatment","Surv.4th","Time.4th","Mass.4th","Surv.5th","Time.5th","Mass.5th","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population"
"51","290","26","N",NA,NA,"Y","8","43.4","12","Y","N","12","162.7","N",NA,NA,"","","NC1","NC"
"52","293","26","Y","7","16.52","Y","9","37.6","16","Y","N","16","209.2","N",NA,NA,"","","NC1","NC"
"53","300","21","Y","8","7.5","Y","13","38.7","20","Y","N","20","173.5","N",NA,NA,"","","NC1","NC"
"54","304","21","Y","11","7.08","Y","16","44.6","24","Y","N","24","231.2","N",NA,NA,"","","NC1","NC"
"55","306","34","Y","9","10.9","Y","13","61.3","18","Y","N","18","129.3","N",NA,NA,"","","NC1","NC"
"56","312","21","Y","10","9.9","Y","14","39.3","22","Y","N","22","212.7","N",NA,NA,"","","NC1","NC"
"57","315","21","Y","12","13.2","Y","16","58.2","24","Y","N","24","262.9","N",NA,NA,"","","NC1","NC"
"58","316","21","Y","10","10.6","Y","14","50.5","21","Y","N","21","180.1","N",NA,NA,"","","NC1","NC"
"59","317","21","Y","10","9.9","Y","13","30.4","19","Y","N","19","146.2","N",NA,NA,"","","NC1","NC"
"60","319","21","Y","10","9.9","Y","14","28.6","22","Y","N","22","147.2","N",NA,NA,"","","NC1","NC"
"61","321","21","Y","11","6.9","Y","16","45.4","24","Y","N","24","234","N",NA,NA,"","","NC1","NC"
"62","324","21","Y","11","8.2","Y","16","48.7","23","Y","N","23","164.4","N",NA,NA,"","","NC1","NC"
"63","325","21","Y","11","6.5","Y","16","58.3","22","Y","N","22","192.2","N",NA,NA,"","","NC1","NC"
"64","326","21","Y","10","10","Y","15","36.8","23","Y","N","23","212.1","N",NA,NA,"","","NC1","NC"
"65","327","21","Y","10","8.3","Y","14","43","21","Y","N","21","226","N",NA,NA,"","","NC1","NC"
"66","328","21","Y","12","10.8","Y","16","38","23","Y","N","23","201.6","N",NA,NA,"","","NC1","NC"
"67","330","21","Y","11","13.4","Y","15","46.4","24","Y","N","24","276","N",NA,NA,"","","NC1","NC"
"68","331","21","Y","11","14.8","Y","14","40.5","22","Y","N","22","210.3","N",NA,NA,"","","NC1","NC"
"69","332","16","Y","12","6.4","Y","20","41.7","33","Y","N","33","216","N",NA,NA,"","","NC1","NC"
"70","335","16","Y","14","13.4","Y","20","42","34","Y","N","34","200.5","N",NA,NA,"","","NC1","NC"
"71","336","21","Y","11","13.3","Y","15","44.2","22","Y","N","22","212.7","N",NA,NA,"","","NC1","NC"
"72","337","21","Y","11","6.5","Y","17","44.7","25","Y","N","25","196.3","N",NA,NA,"","","NC1","NC"
"73","338","21","Y","11","10.6","Y","15","44.9","21","Y","N","21","210.7","N",NA,NA,"","","NC1","NC"
"74","339","21","Y","11","11.3","Y","14","30.5","21","Y","N","21","158.6","N",NA,NA,"","","NC1","NC"
"75","340","21","Y","12","12.4","Y","16","43.3","25","Y","N","25","238.4","N",NA,NA,"","","NC1","NC"
"76","341","16","Y","15","8.9","Y","22","31.1","34","Y","N","34","180.2","N",NA,NA,"","","NC1","NC"
"77","342","16","Y","13","10.1","Y","20","38.4","35","Y","N","35","132.1","N",NA,NA,"","","NC1","NC"
"78","343","16","Y","15","12.8","Y","21","44.9","33","Y","N","33","218.6","N",NA,NA,"","","NC1","NC"
"79","346","16","Y","13","8.1","Y","20","26.7","32","Y","N","32","152.2","N",NA,NA,"","","NC1","NC"
"80","347","16","Y","13","9.1","Y","19","41.2","30","Y","N","30","158.5","N",NA,NA,"","","NC1","NC"
"81","348","21","Y","12","7.1","Y","17","39.5","26","Y","N","26","183.1","N",NA,NA,"","","NC1","NC"
"82","349","21","Y","12","8.3","Y","17","49","25","Y","N","25","216.9","N",NA,NA,"","","NC1","NC"
