"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"165",104,30,NA,"Y","Y",10,165.4,"NC"
"166",105,30,NA,"Y","Y",11,198.6,"NC"
"167",108,30,NA,"Y","Y",10,195.3,"NC"
"168",109,30,NA,"Y","Y",11,190,"NC"
"169",110,30,NA,"Y","Y",11,209.1,"NC"
"170",112,30,NA,"Y","Y",11,207.4,"NC"
"171",113,30,NA,"Y","Y",10,162.3,"NC"
"172",116,30,NA,"Y","Y",9,175.6,"NC"
"173",124,26,NA,"Y","Y",12,199.57,"NC"
"174",126,26,NA,"Y","Y",13,232.9,"NC"
"175",127,26,NA,"Y","Y",10,209.78,"NC"
"176",130,26,NA,"Y","Y",12,274.7,"NC"
"177",131,26,NA,"Y","Y",12,230.6,"NC"
"178",133,26,NA,"Y","Y",11,215.92,"NC"
"179",134,26,NA,"Y","Y",12,227.08,"NC"
"180",135,26,NA,"Y","Y",12,196.6,"NC"
"181",136,26,NA,"Y","Y",13,215.7,"NC"
"182",137,26,NA,"Y","Y",13,216.7,"NC"
"183",139,30,NA,"Y","Y",10,196.5,"NC"
"184",140,30,NA,"Y","Y",11,177,"NC"
"185",142,30,NA,"Y","Y",10,179.2,"NC"
"186",146,30,NA,"Y","Y",10,211.1,"NC"
"187",152,26,NA,"Y","Y",11,186.5,"NC"
"188",157,26,NA,"Y","Y",12,260.6,"NC"
"189",159,26,NA,"Y","Y",13,264.9,"NC"
"190",161,26,NA,"Y","Y",13,185.3,"NC"
"191",180,30,NA,"Y","Y",11,218.6,"NC"
"192",182,30,NA,"Y","Y",10,195.2,"NC"
"193",183,30,NA,"Y","Y",10,182.5,"NC"
"194",186,26,NA,"Y","Y",18,97.1,"NC"
"195",188,26,NA,"Y","Y",13,195,"NC"
"196",222,30,NA,"Y","Y",10,227.9,"NC"
"197",226,30,NA,"Y","Y",10,179.6,"NC"
"198",240,30,NA,"Y","Y",10,160.9,"NC"
"199",267,26,NA,"Y","Y",12,213.8,"NC"
"200",272,26,NA,"Y","Y",11,198.5,"NC"
"201",114,30,13,"N","",NA,NA,"NC"
"202",144,30,13,"N","",NA,NA,"NC"
"203",165,34,15,"N","",NA,NA,"NC"
"204",171,34,18,"N","",NA,NA,"NC"
"205",198,34,14,"N","",NA,NA,"NC"
