"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Sex","Population","Type"
"1100",30,7,18,"Yes","No","108.65","Yes","female","CA","Larval"
"2100",26,14,NA,"Yes","","","No","","CA","Larval"
"389",26,15,23,"Yes","No","49.07","Yes","female","CA","Larval"
"412",26,13,NA,"Yes","","","No","","CA","Larval"
"512",26,11,20,"Yes","No","46.58","Yes","unk","CA","Larval"
"712",26,13,20,"Yes","Yes","93.87","Yes","female","CA","Larval"
"812",26,11,18,"Yes","Yes","90.71","Yes","male","CA","Larval"
"1012",26,12,NA,"Yes","","","No","","CA","Larval"
"1112",26,11,NA,"Yes","","","No","","CA","Larval"
"1312",30,11,18,"Yes","Yes","56.59","Yes","male","CA","Larval"
"1610",30,11,18,"Yes","Yes","81.61","Yes","female","CA","Larval"
"1710",30,11,17,"Yes","Yes","99.4","Yes","male","CA","Larval"
"1811",30,12,18,"Yes","Yes","74.24","Yes","female","CA","Larval"
"1911",30,12,19,"Yes","Yes","85.26","Yes","female","CA","Larval"
"2310",30,11,NA,"Yes","","","No","","CA","Larval"
"2510",34,13,NA,"Yes","","","No","","CA","Larval"
"2610",34,11,NA,"Yes","","","No","","CA","Larval"
"2810",34,14,NA,"Yes","","","No","","CA","Larval"
"3110",34,14,NA,"Yes","","","No","","CA","Larval"
"3310",30,12,NA,"Yes","","","No","","CA","Larval"
"3410",30,11,18,"Yes","Yes","86.52","Yes","female","CA","Larval"
"3510",30,14,21,"Yes","No","85.44","Yes","female","CA","Larval"
"3610",30,12,NA,"Yes","","","No","","CA","Larval"
"3710",30,12,19,"Yes","Yes","86.43","Yes","male","CA","Larval"
"3810",30,12,NA,"Yes","","","No","","CA","Larval"
"392",30,12,19,"Yes","Yes","85.39","Yes","male","CA","Larval"
"402",30,12,19,"Yes","Yes","116.46","Yes","female","CA","Larval"
"422",30,11,17,"Yes","Yes","66.57","Yes","female","CA","Larval"
"442",30,10,NA,"Yes","","","No","","CA","Larval"
"452",30,11,18,"Yes","No","68.43","Yes","male","CA","Larval"
"462",30,10,16,"Yes","Yes","118.9","Yes","male","CA","Larval"
"481",30,11,NA,"Yes","","","No","","CA","Larval"
"492",30,10,16,"Yes","Yes","102.35","Yes","female","CA","Larval"
"502",30,12,18,"Yes","Yes","102.24","Yes","male","CA","Larval"
"513",30,11,NA,"Yes","","","No","","CA","Larval"
"562",21,21,33,"Yes","Yes","108,78","Yes","male","CA","Larval"
"572",26,11,NA,"Yes","","","No","","CA","Larval"
"592",26,13,21,"Yes","No","59.78","Yes","male","CA","Larval"
"613",26,13,21,"Yes","No","124.69","Yes","male","CA","Larval"
"632",26,14,21,"Yes","Yes","94.76","Yes","male","CA","Larval"
"642",26,13,NA,"Yes","","","No","","CA","Larval"
"652",26,13,NA,"Yes","","","No","","CA","Larval"
"662",26,13,23,"Yes","No","34.25","Yes","female","CA","Larval"
"672",26,13,20,"Yes","Yes","72.73","Yes","male","CA","Larval"
"691",26,13,NA,"Yes","","","No","","CA","Larval"
"702",26,12,19,"Yes","Yes","116.27","Yes","male","CA","Larval"
"713",30,10,NA,"Yes","","","No","","CA","Larval"
"721",30,11,NA,"Yes","","","No","","CA","Larval"
"732",30,10,18,"Yes","No","84.21","Yes","female","CA","Larval"
"752",34,14,21,"Yes","No","102.48","Yes","female","CA","Larval"
"792",34,13,NA,"Yes","","","No","","CA","Larval"
"802",34,15,NA,"Yes","","","No","","CA","Larval"
"822",34,11,NA,"Yes","","","No","","CA","Larval"
"831",34,13,NA,"Yes","","","No","","CA","Larval"
"851",34,13,NA,"Yes","","","No","","CA","Larval"
"871",34,15,NA,"Yes","","","No","","CA","Larval"
"882",30,11,18,"Yes","Yes","86.74","Yes","male","CA","Larval"
"892",30,10,17,"Yes","Yes","88.22","Yes","female","CA","Larval"
"913",30,12,NA,"Yes","","","No","","CA","Larval"
"922",30,12,NA,"Yes","","","No","","CA","Larval"
"932",30,11,18,"Yes","Yes","85.66","Yes","male","CA","Larval"
"942",30,12,19,"Yes","Yes","85.04","Yes","male","CA","Larval"
"962",26,15,23,"Yes","Yes","91.16","Yes","male","CA","Larval"
"972",26,14,22,"Yes","Yes","97.92","Yes","male","CA","Larval"
"992",26,14,22,"Yes","No","91.51","Yes","female","CA","Larval"
"1002",26,14,22,"Yes","Yes","125.06","Yes","male","CA","Larval"
"1013",26,14,22,"Yes","Yes","87.9","Yes","female","CA","Larval"
"1022",26,13,20,"Yes","Yes","98.52","Yes","male","CA","Larval"
"1032",26,15,23,"Yes","Yes","77.92","Yes","male","CA","Larval"
"1041",26,15,22,"Yes","Yes","76.3","Yes","female","CA","Larval"
"1051",26,15,22,"Yes","Yes","82.25","Yes","female","CA","Larval"
"1071",26,15,23,"Yes","Yes","78.09","Yes","male","CA","Larval"
