CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
43,26,,12.00,126.93,,14.00,208.03,15.00,,No,15.00,197.56,No,,,,,WA1,WA,7,197.56,11/17/2022,11/29/22,12/1/22,12/2/2022,,12/2/2022
44,30,,8.00,49.04,,10.00,193.25,23.00,,Yes,11.00,185.6,No,,,,,WA1,WA,8,,11/17/2022,11/25/22,11/27/22,11/28/2022,,12/10/22
45,34,,,,,,,1.00,,,,,,,,,,WA1,WA,8,,11/17/2022,,,,,11/18/22
46,16,,24.00,56.76,,28.00,207.85,34.00,,No,34.00,228.86,No,,,,,WA1,WA,8,228.86,11/17/2022,12/11/22,12/15/22,12/21/2022,,12/21/2022
47,21,,15.00,168.62,,17.00,167.03,,,Yes,19.00,158.14,Yes,11,53.36,M,Yes,WA1,WA,8,,11/17/2022,12/2/22,12/4/22,12/6/2022,12/17/2022,
48,26,,,,,,,2.00,,,,,,,,,,WA1,WA,8,,11/17/2022,,,,,11/19/22
49,30,,8.00,29.87,,10.00,140.05,,,Yes,12.00,162.13,Yes,7,73.66,F,No,WA1,WA,8,,11/17/2022,11/25/22,11/27/22,11/29/2022,12/6/2022,
50,34,,8.00,40.56,,10.00,123.67,21.00,,Yes,12.00,121.81,Yes,9,31.16,M,No,WA1,WA,8,,11/17/2022,11/25/22,11/27/22,11/29/2022,12/8/2022,12/8/22
51,16,,26.00,77.08,,28.00,165.23,,,No,34.00,159.78,No,,,,,WA1,WA,8,159.78,11/17/2022,12/13/22,12/15/22,12/21/2022,,
52,21,,,,,,,6.00,,,,,,,,,,WA1,WA,8,,11/17/2022,,,,,11/23/22
