CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
53,26,,17.00,164.75,,18.00,180.3,,,Yes,19.00,168.92,Yes,7,104.55,M,,WA1,WA,9,,11/17/2022,12/4/22,12/5/22,12/6/2022,12/13/2022,
54,30,,6.00,17.01,,9.00,169.68,,,Yes,11.00,186.81,Yes,7,78.59,M,,WA1,WA,9,,11/17/2022,11/23/22,11/26/22,11/28/2022,12/5/2022,
55,34,,12.00,120.68,,13.00,172.34,,,Yes,14.00,115.8,Yes,8,25.09,,No,WA1,WA,9,,11/17/2022,11/29/22,11/30/22,12/1/2022,12/9/2022,
56,16,,,,,,,8.00,,,,,,,,,,WA1,WA,9,,11/17/2022,,,,,11/25/22
57,21,,17.00,95.13,,19.00,169.23,22.00,,No,22.00,138.93,No,,,,,WA1,WA,9,138.93,11/17/2022,12/4/22,12/6/22,12/9/2022,,12/9/2022
58,26,,,,,,,3.00,,,,,,,,,,WA1,WA,9,,11/17/2022,,,,,11/20/22
59,30,,,,,,,10.00,,,,,,,,,,WA1,WA,9,,11/17/2022,,,,,11/27/22
60,34,,14.00,72.67,,17.00,162.51,21.00,,No,21.00,62.12,No,,,,,WA1,WA,9,62.12,11/17/2022,12/1/22,12/4/22,12/8/2022,,12/8/2022
61,16,,35.00,39.92,,38.00,125.68,46.00,,No,46.00,197.15,No,,,,,WA1,WA,9,197.15,11/17/2022,12/22/22,12/25/22,1/2/2023,,1/2/2023
62,21,,,,,,,5.00,,,,,,,,,,WA1,WA,10,,11/17/2022,,,,,11/22/22
63,26,,,,,,,2.00,,,,,,,,,,WA1,WA,10,,11/17/2022,,,,,11/19/22
64,30,,9.00,40.63,,10.00,156.21,,,Yes,12.00,149.22,Yes,7,69.65,M,Yes,WA1,WA,10,,11/17/2022,11/26/22,11/27/22,11/29/2022,12/6/2022,
65,34,,,,,,,17.00,,,,,,,,,,WA1,WA,10,,11/17/2022,,,,,12/4/22
66,16,,,,,,,8.00,,,,,,,,,,WA1,WA,10,,11/17/2022,,,,,11/25/22
67,21,,12.00,40.44,,15.00,191.14,,,Yes,19.00,177.33,Yes,9,73.43,M,Yes,WA1,WA,10,,11/17/2022,11/29/22,12/2/22,12/6/2022,12/15/2022,
68,26,,12.00,120.03,,14.00,194.9,,,Yes,15.00,184.97,Yes,7,,M,Yes,WA1,WA,10,,11/17/2022,11/29/22,12/1/22,12/2/2022,12/9/2022,
69,30,,,,,,,2.00,,,,,,,,,,WA1,WA,1,,11/18/2022,,,,,11/20/22
70,34,,11.00,46.17,,,,14.00,,,,,,,,,,WA1,WA,1,,11/18/2022,11/29/22,,,,12/2/22
71,16,,,,,,,6.00,,,,,,,,,,WA1,WA,1,,11/18/2022,,,,,11/24/22
72,21,,,,,,,20.00,,,,,,,,,,WA1,WA,1,,11/18/2022,,,,,12/8/22
73,26,,13.00,123.34,,14.00,142.38,,,Yes,15.00,131.64,Yes,10,41.77,F,No,WA1,WA,2,,11/18/2022,12/1/22,12/2/22,12/3/2022,12/13/2022,
74,30,,9.00,88.48,,11.00,180.54,,,Yes,12.00,167.22,Yes,6,84.87,M,Yes,WA1,WA,2,,11/18/2022,11/27/22,11/29/22,11/30/2022,12/6/2022,
75,34,,,,,,,5.00,,,,,,,,,,WA1,WA,2,,11/18/2022,,,,,11/23/22
76,16,,30.00,97.03,,32.00,174.56,39.00,,No,39.00,187.43,No,,,,,WA1,WA,2,187.43,11/18/2022,12/18/22,12/20/22,12/27/2022,,12/27/2022
77,21,,20.00,105.67,,21.00,176.77,,,Yes,24.00,187.33,Yes,10,107.75,M,Yes,WA1,WA,2,,11/18/2022,12/8/22,12/9/22,12/12/2022,12/22/2022,
78,26,,,,,,,1.00,,,,,,,,,,WA1,WA,2,,11/18/2022,,,,,11/19/22
79,30,,8.00,55.45,,10.00,228.61,,,Yes,12.00,192.85,Yes,6,110.64,F,Yes,WA1,WA,3,,11/18/2022,11/26/22,11/28/22,11/30/2022,12/6/2022,
80,34,,11.00,87.6,,12.00,120.22,,,Yes,14.00,122.12,Yes,8,48.3,M,Yes,WA1,WA,3,,11/18/2022,11/29/22,11/30/22,12/2/2022,12/10/2022,
81,16,,,,,,,7.00,,,,,,,,,,WA1,WA,3,,11/18/2022,,,,,11/25/22
82,21,,16.00,153.68,,18.00,153.47,29.00,,Yes,18.00,121.3,No,,,,,WA1,WA,3,,11/18/2022,12/4/22,12/6/22,12/6/2022,,12/17/22
83,26,,12.00,185.95,,13.00,181.63,,,Yes,14.00,167.98,Yes,7,73.19,M,Yes,WA1,WA,3,,11/18/2022,11/30/22,12/1/22,12/2/2022,12/9/2022,
84,30,,12.00,116.23,,13.00,130.23,,,Yes,14.00,113.04,Yes,7,39.68,M,No,WA1,WA,3,,11/18/2022,11/30/22,12/1/22,12/2/2022,12/9/2022,
85,34,,10.00,70.42,,11.00,83.07,16.00,,,,,,,,,,WA1,WA,3,,11/18/2022,11/28/22,11/29/22,,,12/4/22
86,16,,,,,,,1.00,,,,,,,,,,WA1,WA,4,,11/18/2022,,,,,11/19/22
87,21,,,,,,,3.00,,,,,,,,,,WA1,WA,4,,11/18/2022,,,,,11/21/22
88,26,,12.00,173.68,,13.00,170.63,,,Yes,14.00,161.66,Yes,7,76.97,F,Yes,WA1,WA,5,,11/18/2022,11/30/22,12/1/22,12/2/2022,12/9/2022,
