CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
066,26,6/20/2023,6/23/2023,,6/26/2023,6.00,14.3,,6/28/2023,8.00,39.27,,7/3/2023,13.00,137.16,yes,,7/13/2023,23.00,34.25,female,no,7/13/2023,deformed wings
067,26,6/20/2023,6/23/2023,,6/25/2023,5.00,8.14,,6/28/2023,8.00,39.02,,7/3/2023,13.00,164.07,yes,,7/10/2023,20.00,72.73,male,yes,,
068,26,6/20/2023,6/23/2023,,6/26/2023,6.00,7.32,,,,,,,,,,,,,,,,6/28/2023,
069,26,6/20/2023,6/23/2023,,6/26/2023,6.00,14.47,,6/29/2023,9.00,41.06,,7/3/2023,13.00,182.13,yes,,,,,,,7/15/2023,died as pupa
070,26,6/20/2023,6/23/2023,,6/25/2023,5.00,8.54,,6/28/2023,8.00,45.12,,7/2/23,12.00,194.19,yes,,7/9/2023,19.00,116.27,male,yes,,
071,30,6/19/2023,6/22/2023,,6/24/2023,5.00,15.83,,6/26/2023,7.00,53.36,,6/29/2023,10.00,173.47,yes,,,,,,,7/8/2023,died as pupa
072,30,6/19/2023,6/22/2023,,6/24/2023,5.00,9.57,,6/26/2023,7.00,37.77,,6/30/2023,11.00,165.69,yes,,,,,,,7/11/2023,died as pupa
073,30,6/19/2023,6/22/2023,,6/23/2023,4.00,10,,6/25/2023,6.00,32.91,,6/29/2023,10.00,162.18,yes,,7/7/2023,18.00,84.21,female,no,,died eclosing
074,34,6/19/2023,6/23/2023,,6/25/2023,6.00,9.48,,,,,,,,,,,,,,,,6/26/2023,shriveled
075,34,6/19/2023,6/23/2023,,6/25/2023,6.00,13.34,,6/28/2023,9.00,42.6,,7/3/2023,14.00,139.01,yes,,7/10/2023,21.00,102.48,female,no,,
076,34,6/21/2023,6/24/2023,,6/27/2023,6.00,6.3,,,,,,,,,,,,,,,,7/8/2023,
077,34,6/19/2023,6/24/2023,,6/26/2023,7.00,9.3,,6/28/2023,9.00,32.02,,,,,,,,,,,,7/6/2023,
078,34,6/19/2023,6/24/2023,,6/26/2023,7.00,5.73,,7/1/2023,12.00,28.13,,7/8/2023,19.00,103.41,no,,,,,,,7/8/2023,INT
079,34,6/19/2023,6/24/2023,,6/26/2023,7.00,10.32,,6/28/2023,9.00,36.76,,7/2/2023,13.00,113.51,yes,,,,,,,7/11/2023,died as pupa
080,34,6/19/2023,6/24/2023,,6/25/2023,6.00,7.69,,6/29/2023,10.00,34.08,,7/4/2023,15.00,103.65,yes,,,,,,,7/14/2023,died as pupa
081,34,6/20/2023,6/24/2023,,,,,,,,,,,,,,,,,,,,6/26/2023,missing?  maybe shriveled
082,34,6/20/2023,6/24/2023,,6/25/2023,5.00,9.37,,6/27/2023,7.00,27.56,,7/1/2023,11.00,106.49,yes,,,,,,,7/11/2023,died as pupa
083,34,6/20/2023,6/24/2023,,6/26/2023,6.00,8.54,,6/29/2023,9.00,57.66,,7/3/2023,13.00,142.31,yes,,,,,,,7/19/2023,died as pupa
084,34,6/20/2023,6/24/2023,,,,,,,,,,,,,,,,,,,,6/27/2023,
