CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
327,21,6/27/2023,7/3/2023,,7/6/2023,9.00,13.41,,7/11/2023,14.00,32.92,,7/20/2023,23.00,171.44,yes,,7/29/2023,32.00,88.31,male,yes,,
328,21,6/27/2023,7/3/2023,,7/6/2023,9.00,16.23,,7/10/2023,13.00,68.09,,7/15/2023,18.00,197.59,no,,,,,,,7/16/2023,INT
329,21,6/27/2023,7/3/2023,,7/8/2023,11.00,21.78,,7/11/2023,14.00,74.31,,7/17/2023,20.00,196.16,yes,,7/28/2023,31.00,88.75,female,yes,,
330,21,6/27/2023,7/3/2023,,7/8/2023,11.00,26.29,,7/10/2023,13.00,37.73,,7/17/2023,20.00,185.49,no,,,,,,,7/18/2023,INT
331,21,6/25/2023,7/3/2023,,7/8/2023,13.00,13.43,,7/12/2023,17.00,38.14,,,,,,,,,,,,7/13/2023,turned black
332,21,6/25/2023,7/3/2023,,7/6/2023,11.00,9.61,,7/10/2023,15.00,42.52,,7/16/2023,21.00,193.06,yes,,7/26/2023,31.00,141.55,female,yes,,
333,21,6/25/2023,7/3/2023,,7/5/2023,10.00,13.52,,7/10/2023,15.00,67.98,,7/16/2023,21.00,189.25,yes,,7/26/2023,31.00,158.28,Female,yes,,
334,21,6/26/2023,7/3/2023,,7/6/2023,10.00,12.42,,7/10/2023,14.00,29.98,,,,,,,,,,,,7/14/2023,
335,21,6/26/2023,7/3/2023,,7/8/2023,12.00,7.41,,7/13/2023,17.00,48.51,,7/20/2023,24.00,182.48,yes,,7/30/2023,34.00,100.62,female,yes,,
336,21,6/26/2023,7/3/2023,,7/6/2023,10.00,13.72,,7/10/2023,14.00,90.42,,7/17/2023,21.00,209.59,no,,,,,,,7/20/2023,INT
337,21,6/26/2023,7/3/2023,,7/8/2023,12.00,9.21,,7/13/2023,17.00,38.57,,7/20/2023,24.00,204.18,yes,,7/30/2023,34.00,115.99,male,yes,,
338,21,6/22/2023,7/3/2023,,7/5/2023,13.00,10.27,,7/10/2023,18.00,33.65,,7/20/2023,28.00,175.04,no,,,,,,,7/20/2023,INT
339,21,6/23/2023,7/3/2023,,7/6/2023,13.00,10.75,,7/10/2023,17.00,52.6,,7/17/2023,24.00,234.07,no,,,,,,,7/17/2023,INT
340,34,6/27/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/18/2023,shriveled
341,34,6/27/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,
342,16,6/27/2023,7/4/2023,,7/9/2023,12.00,10.02,,7/16/2023,19.00,57.87,,7/27/2023,30.00,257.34,no,,,,,,,7/27/2023,INT
343,16,6/27/2023,7/4/2023,,7/8/2023,11.00,11.59,,7/14/2023,17.00,41.22,,7/24/2023,27.00,180.78,yes,,,,,,,,
344,16,6/21/2023,7/4/2023,,7/10/2023,19.00,10.44,,7/17/2023,26.00,66.31,,7/29/2023,38.00,188.93,yes,,,,,,,,
345,16,6/20/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,disappeared? 
346,16,6/23/2023,7/4/2023,,7/12/2023,19.00,9.55,,7/20/2023,27.00,56.75,,8/1/2023,39.00,226.16,no,,,,,,,8/1/2023,INT
347,16,6/27/2023,7/4/2023,,7/10/2023,13.00,10.57,,7/16/2023,19.00,44.71,,7/29/2023,32.00,175.1,yes,,,,,,,7/29/2023,INT
348,16,6/27/2023,7/4/2023,,7/11/2023,14.00,9.21,,7/20/2023,23.00,51.58,,7/30/2023,33.00,176.92,no,,,,,,,7/30/2023,INT
349,21,6/19/2023,7/4/2023,,7/8/2023,19.00,8.39,,7/13/2023,24.00,58.57,,7/20/2023,31.00,182.58,yes,,,,,,,8/4/2023,died as pupa
350,21,6/27/2023,7/4/2023,,7/8/2023,11.00,7.42,,7/12/2023,15.00,38.02,,7/20/2023,23.00,179.97,yes,,7/30/2023,33.00,77.33,female,yes,,
351,21,6/27/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/8/2023,
352,21,6/27/2023,7/4/2023,,7/7/2023,10.00,7.09,,7/12/2023,15.00,38.31,,7/20/2023,23.00,182.19,yes,,7/30/2023,33.00,73.03,female,yes,,
353,21,6/25/2023,7/4/2023,,7/8/2023,13.00,9.23,,7/13/2023,18.00,67.92,,7/20/2023,25.00,180.92,yes,,,,,,,8/4/2023,died as pupa
354,21,6/28/2023,7/4/2023,,7/8/2023,10.00,9.28,,7/13/2023,15.00,40.71,,7/20/2023,22.00,138.54,yes,,,,,,,8/3/2023,died as pupa
355,21,6/28/2023,7/4/2023,,7/9/2023,11.00,13.15,,,,,,7/21/23,23.00,175.2,no,,,,,,,7/23/2023,INT
356,16,6/21/2023,7/5/2023,,7/11/2023,20.00,9.91,,7/19/2023,28.00,36.54,,7/30/2023,39.00,163.99,yes,,,,,,,,
357,16,6/28/2023,7/5/2023,,7/9/2023,11.00,8.24,,7/15/2023,17.00,34.58,,7/25/2023,27.00,192.71,no,,,,,,,7/25/2023,INT
358,16,6/19/2023,7/5/2023,,7/10/2023,21.00,9.02,,7/17/2023,28.00,36.21,,7/27/2023,38.00,188.38,yes,,,,,,,,
359,16,6/23/2023,7/5/2023,,,,,,,,,,,,,,,,,,,,7/15/2023,shriveled
360,16,6/25/2023,7/5/2023,,,,,,,,,,,,,,,,,,,,7/8/2023,
361,21,6/28/2023,7/5/2023,,7/8/2023,10.00,11.07,,7/12/2023,14.00,58.88,,7/20/2023,22.00,183,yes,,7/29/2023,31.00,82.03,female,yes,,
362,21,6/28/2023,7/5/2023,,7/8/2023,10.00,11.81,,7/11/2023,13.00,30.61,,7/17/2023,19.00,152.02,yes,,7/27/2023,29.00,91.18,female,yes,,
363,21,6/28/2023,7/5/2023,,7/8/2023,10.00,13.28,,7/14/2023,16.00,66.71,,7/21/23,23.00,224.91,yes,,7/31/2023,33.00,158.71,male,yes,,
364,21,6/28/2023,7/5/2023,,7/9/2023,11.00,7.51,,7/13/2023,15.00,45.81,,7/20/2023,22.00,156.61,yes,,7/31/2023,33.00,100.34,male,no,,deformed wings
365,21,6/26/2023,7/5/2023,,7/9/2023,13.00,17.59,,7/13/2023,17.00,73.7,,7/20/2023,24.00,223.86,yes,,7/30/2023,34.00,111.15,male,yes,,
366,21,6/27/2023,7/5/2023,,,,,,,,,,,,,,,,,,,,7/9/2023,
367,16,6/27/2023,7/6/2023,,7/12/2023,15.00,6.3,,7/20/2023,23.00,38.17,,7/30/2023,33.00,191.13,yes,,,,,,,,
368,21,6/27/2023,7/6/2023,,7/9/2023,12.00,,,7/15/2023,18.00,125.37,,7/20/2023,23.00,211.17,yes,,8/1/2023,35.00,130.81,female,yes,,
369,16,6/20/2023,7/7/2023,,7/14/2023,24.00,9.74,,7/20/2023,30.00,49.76,,7/30/2023,40.00,208.05,no,,,,,,,7/30/2023,INT
370,16,6/21/2023,7/7/2023,,7/13/2023,22.00,8.32,,7/21/23,30.00,50.26,,8/3/2023,43.00,230.7,no,,,,,,,8/3/2023,INT
371,16,6/27/2023,7/7/2023,,7/13/2023,16.00,7.76,,7/21/2023,24.00,47.21,,7/31/2023,34.00,209.31,yes,,,,,,,,
372,16,6/25/2023,7/7/2023,,7/13/2023,18.00,7.06,,7/21/23,26.00,44,,7/31/2023,36.00,192.31,no,,,,,,,7/31/2023,INT
373,16,6/28/2023,7/7/2023,,7/12/2023,14.00,6.86,,7/19/2023,21.00,45.84,,7/29/2023,31.00,217.77,no,,,,,,,7/29/2023,INT
374,16,6/28,7/7/2023,,7/12/2023,14.00,7.75,,7/18/2023,20.00,54.91,,7/28/2023,30.00,218.49,no,,,,,,,7/28/2023,INT
375,16,6/27/2023,7/8/2023,,7/15/2023,18.00,5.96,,7/22/2023,25.00,34.65,,8/2/2023,36.00,184.28,yes,,,,,,,8/4/2023,died as pupa
376,16,6/23/2023,7/8/2023,,7/14/2023,21.00,7.41,,7/22/2023,29.00,27.9,,8/6/2023,44.00,,yes,,,,,,,,
377,16,6/23/2023,7/8/2023,,7/14/2023,21.00,12.33,,7/22/2023,29.00,31.66,,8/4/2023,42.00,172.3,no,,,,,,,8/4/2023,INT
378,16,6/28/2023,7/8/2023,,7/15/2023,17.00,6.06,,7/21/23,23.00,35.8,,7/31/2023,33.00,176.3,no,,,,,,,7/31/2023,INT
379,16,6/27/2023,7/9/2023,,7/14/2023,17.00,9.49,,7/20/2023,23.00,40.82,,8/1/2023,35.00,208.78,no,,,,,,,8/1/2023,INT
380,16,6/28/2023,7/9/2023,,7/18/2023,20.00,14.45,,7/26/2023,28.00,36.13,,8/7/2023,40.00,,yes,,,,,,,,
381,16,6/27/2023,7/10/2023,,7/18/2023,21.00,,,7/22/2023,25.00,54.25,,8/3/2023,37.00,269.75,no,,,,,,,8/3/2023,INT
382,16,6/27/2023,7/10/2023,,7/15/2023,18.00,9.95,,7/24/2023,27.00,48.76,,8/4/2023,38.00,209.65,yes,,,,,,,,
383,16,6/23/2023,7/11/2023,,,,,,,,,,,,,,,,,,,,7/14/2023,
384,16,6/22/2023,7/11/2023,,7/18/2023,26.00,20.38,,7/22/2023,30.00,50.17,,8/1/2023,40.00,218.47,yes,,,,,,,,
385,16,6/28/2023,7/11/2023,,7/16/2023,18.00,8.97,,7/22/2023,24.00,40.17,,8/2/2023,35.00,197.97,yes,,,,,,,,
386,16,6/28/2023,7/11/2023,,7/18/2023,20.00,8.07,,7/22/2023,24.00,40.64,,8/3/2023,36.00,180.91,no,,,,,,,,
387,16,6/28/2023,7/11/2023,,7/18/2023,20.00,10.15,,7/22/2023,24.00,48.54,,8/4/2023,37.00,231.24,,,,,,,,8/4/2023,INT
