CID,Treatment,Date.dead,km_notes,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
73,26,12/13/22,started eclosing 12/10 but still half in case. alive. mass 74.4. leaving in cup to see if it makes it tomorrow,2,11/18/2022,11/27/22,11/30/22,12/1/22,123.34,12/2/22,142.38,12/3/2022,12/5/22,131.64,,,12/13/2022,F,41.77,12/13/22,A,15,10,died after eclosing
78,26,11/19/22,,2,11/18/2022,,,,,,,,,,,,,,,11/19/22,1,,,
83,26,,,3,11/18/2022,11/22/22,11/26/22,11/30/22,185.95,12/1/22,181.63,12/2/2022,12/4/22,167.98,,,12/9/2022,M,73.19,,,14,7,
88,26,,,5,11/18/2022,11/23/22,11/26/22,11/30/22,173.68,12/1/22,170.63,12/2/2022,12/4/22,161.66,,,12/9/2022,F,76.97,,,14,7,
92,26,12/10/22,died as a moth trying to eclose. mass is 140.6. keeping in cup,6,11/18/2022,11/20/22,11/25/22,11/27/22,56.02,11/29/22,192.97,12/1/2022,12/3/22,181.45,,,,,,12/10/22,P,13,,
98,26,,,8,11/18/2022,11/21/22,11/25/22,11/28/22,93.82,11/30/22,199.9,12/1/2022,12/3/22,180.53,,,12/8/2022,F,72.88,,,13,7,
103,26,12/13/22,,10,11/18/2022,11/21/22,11/29/22,11/30/22,182.51,12/1/22,174.11,12/2/2022,12/4/22,163.09,,,12/13/2022,F,57.1,12/13/22,A,14,11,died after eclosing
108,26,,,7,11/19/2022,11/20/22,11/25/22,11/27/22,71.51,11/29/22,197.28,11/30/2022,12/2/22,181.51,,,12/8/2022,M,64.16,,,11,8,prob was born before 11/19. maybe 11/18?
4,30,,,2,11/16/2022,11/19/22,11/21/22,11/23/22,18.36,11/25/22,116.33,11/29/2022,12/1/22,173.79,,,12/6/2022,F,85.72,,,13,7,Placed in temp chamber before I button data collected 
9,30,11/19/22,,5,11/16/2022,,,,,,,,,,,,,,,11/19/22,1,,,Placed in temp chamber before I button data collected 
14,30,,,1,11/17/2022,11/19/22,11/24/22,11/26/22,85.16,11/27/22,178.22,11/29/2022,12/1/22,164.15,,,12/6/2022,M,83.81,,,12,7,
19,30,,,2,11/17/2022,11/20/22,11/24/22,11/27/22,51.45,11/29/22,161.84,12/1/2022,12/3/22,140.92,,,12/9/2022,M,42.29,12/9/22,A,14,8,didn't eclose properly
24,30,11/20/22,,4,11/17/2022,,,,,,,,,,,,,,,11/20/22,1,,,
29,30,,,5,11/17/2022,11/20/22,11/21/22,11/23/22,35.36,11/25/22,119.33,11/27/2022,11/29/22,155.12,,,12/2/2022,F,66.96,,,10,5,
34,30,11/19/22,,6,11/17/2022,,,,,,,,,,,,,,,11/19/22,1,,,
39,30,11/28/22,,7,11/17/2022,11/20/22,11/23/22,11/26/22,36.41,,,,,,,,,,,11/28/22,4,,,
44,30,12/10/22,died as eclosing moth. mass is 119.33. leaving individual but marking 'dead 12/10' on cup,8,11/17/2022,11/20/22,11/23/22,11/25/22,49.04,11/27/22,193.25,11/28/2022,11/30/22,185.6,,,,,,12/10/22,P,11,,
49,30,,,8,11/17/2022,11/20/22,11/22/22,11/25/22,29.87,11/27/22,140.05,11/29/2022,12/1/22,162.13,,,12/6/2022,F,73.66,,,12,7,didnt eclose properly
54,30,,,9,11/17/2022,11/20/22,11/21/22,11/23/22,17.01,11/26/22,169.68,11/28/2022,11/30/22,186.81,,,12/5/2022,M,78.59,,,11,7,
59,30,11/27/22,,9,11/17/2022,11/20/22,11/23/22,,,,,,,,,,,,,11/27/22,3,,,
64,30,,,10,11/17/2022,11/20/22,11/24/22,11/26/22,40.63,11/27/22,156.21,11/29/2022,12/1/22,149.22,,,12/6/2022,M,69.65,,,12,7,
69,30,11/20/22,,1,11/18/2022,,,,,,,,,,,,,,,11/20/22,1,,,
74,30,,,2,11/18/2022,11/23/22,11/26/22,11/27/22,88.48,11/29/22,180.54,11/30/2022,12/2/22,167.22,,,12/6/2022,M,84.87,,,12,6,
79,30,,,3,11/18/2022,11/20/22,11/24/22,11/26/22,55.45,11/28/22,228.61,11/30/2022,12/2/22,192.85,,,12/6/2022,F,110.64,,,12,6,
84,30,,,3,11/18/2022,11/23/22,11/27/22,11/30/22,116.23,12/1/22,130.23,12/2/2022,12/4/22,113.04,,,12/9/2022,M,39.68,,,14,7,didn't eclose properly 
89,30,12/8/22,,5,11/18/2022,11/23/22,,,,,,,,,,,,,,12/8/22,2,,,
94,30,,,7,11/18/2022,11/22/22,11/24/22,11/27/22,128.56,11/29/22,209.09,11/30/2022,12/2/22,187.76,,,12/8/2022,F,78.74,,,12,8,
99,30,,,9,11/18/2022,11/20/22,11/23/22,11/26/22,53.26,11/27/22,172.34,11/29/2022,12/1/22,174.22,,,12/5/2022,F,85.18,,,11,6,
104,30,11/28/22,,10,11/18/2022,11/23/22,11/27/22,,,,,,,,,,,,,11/28/22,3,,,
109,30,11/28/22,,5,11/19/2022,11/22/22,11/24/22,,,,,,,,,,,,,11/28/22,3,,,
5,34,11/20/22,,2,11/16/2022,,,,,,,,,,,,,,,11/20/22,1,,,Placed in temp chamber before I button data collected 
11,34,12/5/22,,8,11/16/2022,11/19/22,11/22/22,11/29/22,65.56,12/2/22,110.67,,,,,,,,,12/5/22,5,,,turned black at death
15,34,11/21/22,,1,11/17/2022,,,,,,,,,,,,,,,11/21/22,1,,,
20,34,11/24/22,,2,11/17/2022,,,,,,,,,,,,,,,11/24/22,1,,,
25,34,11/19/22,,4,11/17/2022,,,,,,,,,,,,,,,11/19/22,1,,,
35,34,11/20/22,,6,11/17/2022,,,,,,,,,,,,,,,11/20/22,1,,,
40,34,11/21/22,,7,11/17/2022,,,,,,,,,,,,,,,11/21/22,1,,,
45,34,11/18/22,,8,11/17/2022,,,,,,,,,,,,,,,11/18/22,1,,,
50,34,12/8/22,,8,11/17/2022,11/20/22,11/21/22,11/25/22,40.56,11/27/22,123.67,11/29/2022,12/1/22,121.81,,,12/8/2022,M,31.16,12/8/22,A,12,9,died trying to eclose
55,34,12/9/22,,9,11/17/2022,11/20/22,11/24/22,11/29/22,120.68,11/30/22,172.34,12/1/2022,12/3/22,115.8,,,12/9/2022,U,25.09,12/9/22,A,14,8,Didnt eclose properly 
65,34,12/4/22,,10,11/17/2022,11/21/22,11/25/22,,,,,,,,,,,,,12/4/22,3,,,turned black at death
70,34,12/3/22,,1,11/18/2022,11/21/22,11/25/22,11/29/22,46.17,,,,,,,,,,,12/2/22,4,,,
75,34,11/23/22,,2,11/18/2022,,,,,,,,,,,,,,,11/23/22,1,,,
80,34,,wings kinda fucked up at eclosion,3,11/18/2022,11/21/22,11/25/22,11/29/22,87.6,11/30/22,120.22,12/2/2022,12/4/22,122.12,,,12/10/2022,M,48.3,,,14,8,
85,34,12/4/22,,3,11/18/2022,11/21/22,11/25/22,11/28/22,70.42,11/29/22,83.07,,,,,,,,,12/4/22,5,,,Turned black at death
90,34,12/9/22,,5,11/18/2022,11/21/22,11/25/22,11/28/22,88.34,11/30/22,145.36,12/1/2022,12/3/22,116.97,,,12/9/2022,F,133.07,12/9/22,A,13,8,died trying to eclose
95,34,11/24/22,,7,11/18/2022,,,,,,,,,,,,,,,11/24/22,1,,,
100,34,11/19/22,,9,11/18/2022,,,,,,,,,,,,,,,11/19/22,1,,,
105,34,11/23/22,,10,11/18/2022,,,,,,,,,,,,,,,11/23/22,1,,,
110,34,11/22/22,,10,11/20/2022,,,,,,,,,,,,,,,11/22/22,1,,,
