CID,Treatment,Date.dead,Dish_num,Date.hatch,Date.2nd,Date.3rd,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupa,Date.cup,Mass.pupa,Date.larvapupa-int,Mass.larvapupa-int,Date.eclose,Sex,Mass.adult,Date.dead,Instar.dead,DaysHtoP,DaysPtoE,Notes
1088,26,,52,12/2/2022,12/7/22,12/10/22,12/13/22,58.89,12/15/22,168.24,12/17/22,12/19/22,147.53,,,12/22/2022,F,74.66,,,15,5,
1093,26,12/4/22,42,12/2/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1098,26,12/27/22,36,12/2/2022,12/7/22,12/10/22,12/24/22,18.5,,,,,,,,,,,12/27/22,4,,,
1103,26,12/5/22,36,12/2/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1108,26,,16,12/2/2022,12/5/22,12/10/22,12/13/22,152.72,12/14/22,170.36,12/15/22,12/17/22,140.12,,,12/20/2022,F,77.07,,,13,5,
1113,26,,28,12/2/2022,12/7/22,12/10/22,12/12/22,142.95,12/14/22,,12/15/22,12/17/22,157.59,,,12/21/2022,F,82.42,,,13,6,
1118,26,,33,12/2/2022,12/6/22,12/11/22,12/12/22,154.21,12/13/22,144.81,12/14/22,12/16/22,129.21,,,12/21/2022,F,58.93,,,12,7,
1123,26,12/4/22,34,12/2/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1128,26,,31,12/2/2022,12/8/22,12/10/22,12/12/22,172.95,12/14/22,,12/15/22,12/17/22,196.37,,,12/21/2022,F,180.54,,,13,6,
1133,26,,31,12/2/2022,12/7/22,12/10/22,12/13/22,32.76,12/15/22,144.35,12/17/22,12/19/22,132.08,,,12/22/2022,M,68.05,,,15,5,
1138,26,,30,12/2/2022,12/6/22,12/11/22,12/13/22,139.89,12/14/22,154.22,12/15/22,12/17/22,125.31,,,12/21/2022,F,60.79,,,13,6,
11182,26,,,12/2/2022,,,,,,,12/15/22,12/17/22,160.55,,,12/20/2022,F,75.15,,,13,5,
1004,30,,39,11/30/2022,12/4/22,12/6/22,12/8/22,105.22,12/10/22,132.6,12/11/22,12/13,118.37,,,12/18/2022,M,57.54,,,11,7,
1009,30,,31,11/30/2022,12/4/22,12/10/22,12/15/22,97.58,12/17/22,183.93,12/18/22,12/20/22,160.17,,,12/24/2022,F,80.77,,,18,6,
1014,30,,12,12/1/2022,12/5/22,12/6/22,12/10/22,161.48,12/12/22,170.67,12/13/22,12/15/22,140.41,,,12/18/2022,F,67.87,,,12,5,
1019,30,12/5/22,35,12/1/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1024,30,,26,12/1/2022,12/5/22,12/10/22,12/12/22,163.43,12/13/22,172.89,12/14/22,12/16/22,175.05,,,12/19/2022,F,100.99,,,13,5,
1029,30,,27,12/1/2022,12/5/22,12/9/22,12/11/22,161.1,12/12/22,167.28,12/13/22,12/15/22,157.36,,,12/20/2022,F,79.29,,,12,7,
1034,30,12/4/22,29,12/1/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1039,30,,23,12/1/2022,12/5/22,,12/10/22,62.61,12/13/22,180.24,12/14/22,12/16/22,166.47,,,12/21/2022,M,79.66,,,13,7,
1044,30,,17,12/1/2022,12/4/22,12/9/22,12/11/22,31.46,12/13/22,153.46,12/15/22,12/17/22,149.14,,,12/21/2022,F,80.97,,,14,6,
1049,30,,20,12/1/2022,12/5/22,12/9/22,12/11/22,66.48,12/13,156.51,12/14/22,12/16/22,142.36,,,12/20/2022,F,69.61,,,13,6,
1054,30,,48,12/1/2022,12/5/22,12/8/22,12/10/22,152.3,12/12,167.34,12/13/22,12/15/22,148.71,,,12/18/2022,F,75.07,,,12,5,
1059,30,,30,12/1/2022,12/4/22,12/11/22,12/13/22,119.58,12/14/22,148.43,12/14/22,12/16/22,136.36,,,12/21/2022,F,66.4,,,13,7,
1064,30,12/4/22,38,12/1/2022,,,,,,,,,,,,,,,12/4/2022,1,,,
1069,30,,41,12/1/2022,12/5/22,12/9/22,12/11/22,56,12/13/22,195.67,12/14/22,12/16/22,176.29,,,12/21/2022,F,86.56,,,13,7,
1074,30,,50,12/2/2022,12/6/22,12/10/22,12/12/22,151.36,12/13/22,159.32,12/14/22,12/16/22,134.43,,,12/19/2022,M,60.04,,,12,5,
1079,30,,18,12/2/2022,12/5/22,12/9/22,12/11/22,93.37,12/13/22,184.67,12/14/22,12/16/22,170.44,,,12/20/2022,F,86.29,,,12,6,
1084,30,,52,12/2/2022,12/5/22,12/9/22,12/11/22,97.3,12/12/22,119.44,12/13/22,12/15/22,104.69,,,12/20/2022,M,42.02,,,11,7,
1089,30,12/8/22,42,12/2/2022,,,,,,,,,,,,,,,12/8/22,1,,,
1094,30,12/5/22,44,12/2/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1099,30,,36,12/2/2022,12/5/22,12/9/22,12/11/22,48.67,12/13/22,161.73,12/14/22,12/16/22,149.35,,,12/21/2022,M,86.44,,,12,7,
1104,30,,36,12/2/2022,12/5/22,12/10/22,12/13/22,79.33,12/14/22,122.65,12/17/22,12/19/22,145.36,,,12/23/2022,F,86.22,,,15,6,didnt eclose properly
1109,30,,16,12/2/2022,12/5/22,12/9/22,12/11/22,96.8,12/12/22,120.23,12/13/22,12/15/22,144.04,,,12/20/2022,M,49.71,,,11,7,didnt eclose properly
1114,30,12/5/22,28,12/2/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1119,30,,33,12/2/2022,12/5/22,12/9/22,12/11/22,37.4,12/14/22,124.22,12/15/22,12/17/22,147.42,,,12/20/2022,F,71.32,,,13,5,
1124,30,,34,12/2/2022,12/5/22,12/9/22,12/11/22,117.4,12/12/22,169.54,12/13/22,12/15/22,160.84,,,12/19/2022,F,99.61,,,11,6,
1129,30,12/10/22,31,12/2/2022,12/6/22,,,,,,,,,,,,,,12/10/22,2,,,
1134,30,12/13/22,31,12/2/2022,12/7/22,,,,,,,,,,,,,,12/13/22,2,,,
1030,34,12/4/22,27,12/1/2022,12/6/22,12/8/22,12/10/22,43.21,12/15/22,127.05,,,,12/17/22,98.06,,,,,,16,,
1085,34,,52,12/2/2022,12/7/22,12/9/22,12/11/22,48.02,12/15/22,106.76,,,,12/17/22,80.92,,,,,,15,,
1095,34,,44,12/2/2022,12/7/22,12/9/22,12/11/22,49.74,12/13/22,155.43,,,,12/17/22,130.02,,,,,,15,,
1055,34,,39,12/1/2022,12/5/22,12/10/22,12/14/22,129.78,12/15/22,170.61,,,,12/18/22,167.69,,,,,,17,,
1005,34,12/27/22,39,11/30/2022,12/4/22,12/9/22,12/10/22,42.68,12/13/22,132.31,12/14/22,12/16/22,121.77,,,,,,12/26/22,p,14,,died while eclosing 
1010,34,,25,11/30/2022,12/4/22,12/8/22,12/10/22,39.7,12/13/22,120.22,12/14/22,12/16/22,126.16,,,12/22/2022,M,79.41,,,14,8,didnt eclose properly
1015,34,12/5/22,12,12/1/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1020,34,12/8/22,34,12/1/2022,,,,,,,,,,,,,,,12/8/22,1,,,
1025,34,,28,12/1/2022,12/5/22,12/8/22,12/10/22,43.5,12/13/22,80.56,12/14/22,12/16/22,137.06,,,12/22/2022,M,73.79,,,13,8,didnt eclose properly
1035,34,12/5/22,22,12/1/2022,,,,,,,,,,,,,,,12/5/22,1,,,
1040,34,12/29/22,23,12/1/2022,12/5/22,12/8/22,12/10/22,45.9,12/13/22,,12/15/22,12/17/22,132.28,,,,,,12/29/22,P,14,,died as pupa
1045,34,,16,12/1/2022,12/8/22,12/6/22,12/10/22,70.89,12/13/22,130.22,12/14/22,12/16/22,139.27,,,,,,12/22/22,P,13,,died as pupa
1050,34,,20,12/1/2022,12/4/22,12/8/22,12/11/22,40.29,12/13/22,149.33,12/15/22,12/17/22,136.56,,,12/23/2022,F,116.14,,,14,8,didnt eclose properly
1060,34,12/11/22,25,12/1/2022,12/5/22,12/8/22,,,,,,,,,,,,,12/11/22,3,,,
1065,34,,15,12/1/2022,12/5/22,12/8/22,12/11/22,52.18,12/13/22,,12/15/22,12/17/22,139.91,,,12/23/2022,M,95.73,,,14,8,didnt eclose properly
1070,34,12/27/22,41,12/1/2022,12/6/22,12/9/22,12/11/22,40.1,12/15/22,186.24,12/17/22,12/19/22,167.06,,,,,,12/27/22,P,16,,died as pupa
1073,34,12/8/22,50,12/2/2022,,,,,,,,,,,,,,,12/8/22,1,,,
1075,34,12/27/22,50,12/2/2022,12/5/22,12/8/22,12/10/22,60.3,12/13/22,120.45,12/14/22,12/16/22,139.28,,,,,,12/27/22,P,12,,died as pupa
1080,34,12/22/22,18,12/2/2022,12/6/22,12/9/22,12/11/22,42.75,,,,,,,,,,,12/22/22,4,,,
1090,34,,42,12/2/2022,12/5/22,12/8/22,12/10/22,63.47,12/13/22,152.63,12/14/22,12/16/22,133.83,,,12/23/2022,M,61.37,,,12,9,
1100,34,12/13/22,36,12/2/2022,12/7/22,12/10/22,,,,,,,,,,,,,12/13/22,3,,,
1105,34,12/6/22,36,12/2/2022,,,,,,,,,,,,,,,12/6/22,1,,,
1110,34,12/4/22,16,12/2/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1115,34,12/9/22,28,12/2/2022,12/8/22,,,,,,,,,,,,,,12/9/22,2,,,
1120,34,12/22/22,33,12/2/2022,12/7/22,12/11/22,,,,,,,,,,,,,12/22/22,3,,,
1125,34,12/29/22,25,12/2/2022,12/6/22,12/9/22,12/11/22,44.42,12/13/22,,12/15/22,12/17/22,145.16,,,,,,12/29/22,P,13,,died as pupa
1130,34,12/4/22,31,12/2/2022,,,,,,,,,,,,,,,12/4/22,1,,,
1135,34,12/27/22,31,12/2/2022,12/6/22,12/10/22,12/14/22,92.44,12/15/22,113.34,12/17/22,12/19/22,102.98,,,,,,12/27/22,P,15,,died as pupa
1139,34,12/22/22,30,12/2/2022,12/7/22,12/10/22,,,,,,,,,,,,,12/22/22,3,,,
