"","CID","Treatment","Mass.pupa","Mass.larvapupa.int","DaysHtoP","DaysPtoE","PupateOK","Surv.pupa","Surv.eclos"
"40",67,21,177.33,NA,19,9,"Y","Y","N"
"41",72,21,NA,NA,NA,NA,NA,"N","N"
"42",77,21,187.33,NA,24,10,"Y","Y","N"
"43",82,21,121.3,NA,18,NA,"Y","N","N"
"44",87,21,NA,NA,NA,NA,NA,"N","N"
"45",93,21,NA,NA,NA,NA,NA,"N","N"
"46",97,21,NA,NA,NA,NA,NA,"N","N"
"47",102,21,197.13,NA,18,9,"Y","Y","N"
"48",3,26,171.69,NA,14,8,"Y","Y","N"
"49",8,26,152.66,NA,13,7,"Y","Y","N"
"50",13,26,135.52,NA,14,8,"Y","Y","N"
"51",18,26,191.73,NA,12,7,"Y","Y","N"
"52",23,26,NA,NA,NA,NA,NA,"N","N"
"53",28,26,162.3,NA,13,8,"Y","Y","N"
"54",33,26,166.93,NA,13,8,"Y","Y","N"
"55",38,26,187.25,NA,14,12,"Y","Y","N"
"56",48,26,NA,NA,NA,NA,NA,"N","N"
"57",53,26,168.92,NA,19,7,"Y","Y","N"
"58",58,26,NA,NA,NA,NA,NA,"N","N"
"59",63,26,NA,NA,NA,NA,NA,"N","N"
"60",68,26,184.97,NA,15,7,"Y","Y","N"
"61",73,26,131.64,NA,15,10,"Y","Y","N"
"62",78,26,NA,NA,NA,NA,NA,"N","N"
"63",83,26,167.98,NA,14,7,"Y","Y","N"
"64",88,26,161.66,NA,14,7,"Y","Y","N"
"65",92,26,181.45,NA,13,NA,"Y","N","N"
"66",98,26,180.53,NA,13,7,"Y","Y","N"
"67",103,26,163.09,NA,14,11,"Y","Y","N"
"68",108,26,181.51,NA,11,8,"Y","Y","N"
"69",4,30,173.79,NA,13,7,"Y","Y","N"
"70",9,30,NA,NA,NA,NA,NA,"N","N"
"71",14,30,164.15,NA,12,7,"Y","Y","N"
"72",19,30,140.92,NA,14,8,"Y","Y","N"
"73",24,30,NA,NA,NA,NA,NA,"N","N"
"74",29,30,155.12,NA,10,5,"Y","Y","N"
"75",34,30,NA,NA,NA,NA,NA,"N","N"
"76",39,30,NA,NA,NA,NA,NA,"N","N"
"77",44,30,185.6,NA,11,NA,"Y","N","N"
"78",49,30,162.13,NA,12,7,"Y","Y","N"
"79",54,30,186.81,NA,11,7,"Y","Y","N"
"80",59,30,NA,NA,NA,NA,NA,"N","N"
"81",64,30,149.22,NA,12,7,"Y","Y","N"
"82",69,30,NA,NA,NA,NA,NA,"N","N"
"83",74,30,167.22,NA,12,6,"Y","Y","N"
"84",79,30,192.85,NA,12,6,"Y","Y","N"
"85",84,30,113.04,NA,14,7,"Y","Y","N"
"86",89,30,NA,NA,NA,NA,NA,"N","N"
"87",94,30,187.76,NA,12,8,"Y","Y","N"
"88",99,30,174.22,NA,11,6,"Y","Y","N"
"89",104,30,NA,NA,NA,NA,NA,"N","N"
"90",109,30,NA,NA,NA,NA,NA,"N","N"
"91",5,34,NA,NA,NA,NA,NA,"N","N"
"92",11,34,NA,NA,NA,NA,NA,"N","N"
"93",15,34,NA,NA,NA,NA,NA,"N","N"
"94",20,34,NA,NA,NA,NA,NA,"N","N"
"95",25,34,NA,NA,NA,NA,NA,"N","N"
"96",35,34,NA,NA,NA,NA,NA,"N","N"
"97",40,34,NA,NA,NA,NA,NA,"N","N"
"98",45,34,NA,NA,NA,NA,NA,"N","N"
"99",50,34,121.81,NA,12,9,"Y","Y","N"
"100",55,34,115.8,NA,14,8,"Y","Y","N"
"101",65,34,NA,NA,NA,NA,NA,"N","N"
"102",70,34,NA,NA,NA,NA,NA,"N","N"
"103",75,34,NA,NA,NA,NA,NA,"N","N"
"104",80,34,122.12,NA,14,8,"Y","Y","N"
"105",85,34,NA,NA,NA,NA,NA,"N","N"
"106",90,34,116.97,NA,13,8,"Y","Y","N"
"107",95,34,NA,NA,NA,NA,NA,"N","N"
"108",100,34,NA,NA,NA,NA,NA,"N","N"
"109",105,34,NA,NA,NA,NA,NA,"N","N"
"110",110,34,NA,NA,NA,NA,NA,"N","N"
