MRID,Trt,Date.Hatch,Date.4th,Mass.4th,Date.5th,Mass.5th,Pupa,Cup,Mass.Pupa,Date.INT,Mass.INT,Date.Dead,Instar.Dead,Date.eclose,Mass.adult,Sex,DaysHtoP,DaysPtoE,Notes
28,34,12/2/2022,12/12/2022,80.82,12/14/2022,201.82,12/15/2022,12/17/2022,180.59,,,12/23/22,P,,,,13,,died as pupa
34,34,12/2/2022,12/12/2022,60.51,12/14/2022,140.22,12/15/2022,12/17/2022,151.93,,,12/28/22,P,,,,13,,died as pupa
42,34,12/2/2022,12/11/2022,152.28,12/12/2022,160.58,12/13/2022,12/15/2022,153.1,,,,,12/20/2022,87.29,F,11,7,
52,34,12/2/2022,12/12/2022,91.9,12/14/2022,213.92,12/15/2022,12/17/2022,187.97,,,12/23/22,P,,,,13,,died as pupa
56,34,12/2/2022,12/13/2022,111.56,12/15/2022,205.81,12/17/2022,12/19/2022,188.4,,,12/24/22,P,,,,15,,died while eclosing
60,34,12/2/2022,12/13/2022,154.03,12/14/2022,177.6,12/15/2022,12/17/2022,155.23,,,12/24/22,P,,,,13,,died while eclosing
63,34,12/2/2022,12/13/2022,83.19,12/15/2022,175.52,12/17/2022,12/19/2022,151.5,,,12/24/22,P,,,,15,,died while eclosing
65,34,12/2/2022,12/15/2022,132.52,12/17/2022,183.29,12/18/2022,12/20/2022,109.69,,,12/23/22,P,,,,16,,died as pupa
35,,12/2/2022,12/12/2022,200.72,12/13/2022,170.09,,,,12/15,155.74,,,,,,,,
36,,12/2/2022,12/12/2022,151.18,,,,,,12/15,87.03,12/15,,,,,,,
59,,12/2/2022,12/13/2022,133.76,12/15/2022,159.71,,,,12/17/22,148.89,,,, ,,,,
